video,title,date,location,summary,topics,featured_techniques,section_count
LTG94ODJJIk.youtube,"Toyota Yaris Rear Drum Brakes: Wheel Cylinder Leak, Line Replacement, and Bleeding","March 28, 2026",,"This video provides an in-depth, hands-on repair of a Toyota Yaris rear drum brake system affected by a leaking wheel cylinder that contaminated the rear shoes. The host documents diagnosing no braking, replacing the leaking wheel cylinder, replacing rusty brake lines, cleaning contaminated components, installing new shoes and hardware, and bleeding the system via gravity and pedal methods. A test drive checks whether the master cylinder survived the service, with notes on a common Toyota quirk where the brake warning float can stick when fluid is low. The walkthrough emphasizes practical decisions when budget constraints exist (such as preserving a compromised backing plate) and cautions against fabricating hard lines in favor of OEM pre-bent parts. Throughout, the guide highlights key drum-brake concepts—shoe and star wheel adjustment, hydraulic threading, and iterative checks—to ensure safe, functional brakes after the repair.",Rear Drum Brakes; Wheel Cylinder Leak; Brake Fluid Contamination; Drum Hardware Replacement; Wheel Cylinder Install; Brake Line Replacement; Line Wrench Usage; Brake Line Fabrication; Backing Plate Repair; Heat Shield Rattle; Drum Removal; Star Wheel Adjuster; Brake Cleaning; Brake Bleeding Procedures; Master Cylinder Symptoms; Brake Test Drive; Post Repair Maintenance,"Rear drum brake service workflow: wheel cylinder replacement, line replacement, and hardware refresh @ 00:04:13; Use of a line wrench to remove brake line fittings @ 00:03:09; OEM pre-bent brake lines vs fabrication for proper fit @ 00:11:38; Bleeding sequence: gravity bleed followed by pedal bleed to remove air and preserve the master @ 00:26:31; Star wheel adjuster orientation and directional self-adjusting principle @ 00:34:55; Post-repair reminder: tapping the master cylinder to release a stuck float warning light @ 00:37:32",6
N7sS3qKU8jc.youtube,LS400 Parts Cannon: Misdiagnosis and Root-Cause Fix,"March 18, 2026",Illinois (car origin),"The Car Care Nut video recounts a pristine Lexus LS400 that suffered severe vibration and shake when accelerating, which was repeatedly worsened by a string of aftermarket parts and misdiagnoses. The host traces the problem back to original engine and transmission mounts, which were replaced with aftermarket units, and demonstrates how this cascade led to drive shaft and rear-end modifications that failed to solve the root cause. Through hands-on diagnosis, swapping in a known-good driveshaft, and comparing parts, the video illustrates a methodical backtracking approach to root-cause analysis, the challenges of sourcing original LS400 parts, and a call for using factory parts (where appropriate) to preserve the car’s integrity. It also highlights broader issues in independent shops’ part sourcing and emphasizes the importance of preserving LS400-era components via heritage-part programs.",LS400 Engine Mounts; LS400 Transmission Mounts; Aftermarket Mounts; Driveshaft Balance; Sleeve Orientation; Flex Disk Replacement; Rear Differential Integrity; Tires and Wheels; OEM vs Aftermarket; GR Heritage Sourcing; Root Cause Backtracking; Used Driveshaft Verification; Old Lexus Parts,Install factory engine and transmission mounts on LS400 @ 00:07:39; Diagnose vibration by swapping in a known-good driveshaft for verification @ 00:09:34; Identify incorrect sleeve orientation in driveshaft assembly and correct it @ 00:08:28; Rule out tires and wheels by swapping to test for root-cause @ 00:07:59; Use heritage/original parts advocacy to mitigate future failures (GR Heritage) @ 00:19:21; Backtrack diagnosis from symptom escalation to root cause @ 00:10:43,6
Q3aK-Wzp07g.youtube,"Inside Toyota's Hybrid Inverter-Converter Assembly: MGECU, IPM, and High-Voltage Powertrain","July 25, 2026","Under the hood, driver's side of the engine bay (explicitly mentioned; Prius 3rd generation)","This video provides a meticulous, hands-on exploration of Toyota’s inverter-converter assembly—the 'brain' of the hybrid system. The host identifies key components (MG ECU, Intelligent Power Modules, DC-DC converter, boost converter), explains how high-voltage DC from the battery is turned into three-phase AC for MG1 and MG2, and covers cooling, thermal management, and sensor networks. The segment includes a close look at a failed IPM, discussion of safety features, and practical repair considerations, including cost and labor implications of replacing versus repairing the inverter. Historical context is provided by comparing to early Prius designs, highlighting how hybrid power electronics have evolved over time.",Hybrid System Overview; Inverter Converter Assembly; MGECU Controller; IPM Module; DC DC Converter; Boost Converter; MG1 MG2 Motors; Three-Phase Current Sensors; IPM Temperature Sensors; Atmospheric Pressure Sensor; MG1 MG2 Startup; AC DC Three Phase Wiring; Regenerative Braking Charge; IPM Switching; IPM Thermal Paste; IPM Replacement; IPM Failure Modes; Insulation Resistance Checks; High Voltage Wiring; Inverter Case Sealing; Inverter Repair Economics; First Gen Prius Inverter; Boost Circuit Capacitors; Hybrid Trouble Codes,"Live inspection of a failed IPM shows burnt IGBTs and degraded thermal paste, illustrating heat damage and cooling failure. @ 00:10:07; Demonstration of DC-DC and boost converter operation, including the coil energization and capacitor energy storage to reach ~650V. @ 00:13:22; Discussion of safety features and insulation testing (mega-ohm meter), including high-voltage wiring insulation containment. @ 00:24:17; Case opening with a specialized tool and emphasis on precise torque, sealing, and thermal interface materials for rebuilds. @ 00:22:05",3
RIxaZm1SWgA.youtube,Toyota Sienna 2GR-FE Harness Replacement After Rodent Damage (ECU/ECU and Engine Wiring) ,"January 17, 2026",Sicagoland (probable),"The Car Care Nut walks through a high-stakes harness replacement on a 2011 Toyota Sienna affected by severe rodent damage that fried injector drivers and the engine computer. The video covers diagnosing chewed wiring, deciding between repairing the existing harness versus replacing it with a new Toyota harness, and the rationale for choosing the harness route to avoid repeating failures. It details the arduous process of accessing and removing a stubborn belt-driven compressor to reach a crank sensor behind it, managing a tangle of brackets and connectors, and then installing a brand-new engine harness with careful attention to routing and orientation. After reinstalling the harness, the host programs the new ECU VIN, checks for trouble codes, and confirms the engine runs, all while noting missing brackets, a cracked belt, and follow-up tasks (oil cooler line, bracket replacement). The overall message emphasizes the importance of identifying proper, complete harness repairs rather than piecemeal fixes that leave the vehicle prone to future failure.",2GR FE Harness; Engine Wiring Harness; ECU Replacement; Injector Drivers; Rodent Damage Diagnosis; Crank Sensor Access; Compressor Access Removal; Drive Belt Inspection; Oil Cooler Lines; Plenum Removal; Harness Routing; ECU Connector Access; Ground and Sensor Wiring; Toyota Harness Clips; Preserve Old Harness; VIN Programming; DTC Readiness Checks; Starter Safety Wiring; Connector Access Methods,Do not cut the old harness; remove it in one piece to ensure correct fit and routing for the new harness @ 00:04:32; Gain access to the crank sensor by moving/removing the A/C compressor (and potentially the exhaust manifold) to reach tight connectors @ 00:09:22; VIN programming of a new Toyota ECU using GTS Plus to imprint the VIN for proper start-up @ 01:12:25; Check and clear diagnostic trouble codes after harness replacement; verify readiness before final start @ 01:13:20; Identify and replace a seized/cracked drive belt; avoid reusing a failed belt @ 01:07:28; Install the new harness with correct orientation and bracket alignment; counting bolts to avoid left-over hardware @ 00:36:56,7
SrlgQwZXmeU.youtube,Diagnosis and Troubleshooting of Toyota/Lexus Parking Sensor ICS Wiring and Calibration,"September 10, 2025",,"The Car Care Nut’s video explains Toyota and Lexus Intelligent Clearance Sensors (ICS) parking systems, focusing on how these sensors are wired in a daisy-chained network and how to diagnose faults without blindly replacing components. The host details front/rear sensor separation, six-pin sensor design, and the three-wire-per-end architecture (ground plus two communications). He demonstrates practical diagnostic steps: testing continuity from the harness to individual sensors, recognizing that a single faulty sensor can disrupt the entire network, and the importance of using a known-good sensor to isolate failures. The video also covers calibration via bi-directional scan tools, interpretation of common codes such as C1AED, harness fragility near the exhaust, and pragmatic advice to consider replacing the harness when diagnosing. The overall emphasis is understanding how the ICS network operates before diagnosing to avoid misleading conclusions and extended diagnostics.",Parking Sensor ICS; Parking Sensor Systems; Daisy-Chain Wiring; Six Pin Parking Sensors; Ground and Communication Wiring; Parking Sensor Calibration; Sensor Separation; C1AED Code; Harness Test and Replacement; Known Good Testing; Scan Tool Calibration; Bumper Programming; Exhaust Harness Fragility,Visual mapping of the ICS sensor daisy-chain wiring and six-pin sensors @ 00:02:00; Avoiding end-to-end wiring checks; diagnose via sectional continuity within the harness @ 00:07:24; Calibration via bi-directional scan tool with bumper and car selection @ 00:14:42; Sensor swap testing to identify a faulty unit while monitoring changing codes @ 00:12:01; Harness replacement as a proactive step due to fragility and cost @ 00:18:49; Interpreting C1AED as a common fault trap and its diagnostic implications @ 00:15:49,7
ZdydKACzOWQ.youtube,The 1988 Toyota Supra 7M-GE: A Three-Year Engine Saga,"March 7, 2026",,"This videos charts a dramatic, multi‑year repair saga of a 1988 Toyota Supra with the notoriously fragile 7M-GE engine. The shop narrates a relentless sequence of hurdles—from seized brakes and a misfiring engine to a crushed cylinder block and a failed machine-shop partnership—culminating in a donor‑engine salvage plan and a painstaking in‑house rebuild. Interwoven with a shift in momentum, the story culminates in a completed car, a relieved owner, and a heartfelt tribute to a skilled machinist who helped along the way, illustrating resilience and problem‑solving under pressure in a specialization-focused shop setting.",1988 Toyota Supra; 7M GE Engine; Head Gasket Failure; Cylinder Bore Damage; Block Inspection; Borescope Diagnostic; Front Cover Machining; Machine Shop Coordination; Donor Engine Strategy; Supra Donor Car; Engine Teardown; Rear Main Seal; Coolant Leak Diagnosis; Brake Master Cylinder; Test Drive Challenges; Three-Year Engine Saga; Machinist Tribute,Boroscope inspection to assess cylinder condition @ 00:04:20; Head gasket planning for 7M-GE era @ 00:00:00; In-house engine teardown and salvage planning @ 00:19:22; Donor-engine strategy and viability assessment @ 00:14:20; Front cover machining review and rework @ 00:08:19; Braking system diagnostics during testing (master cylinder focus) @ 00:21:40,6
aYY3lh-kao0.youtube,"HVAC Actuator Rescue on a 2013 Lexus RX350: Dual-Servo, One-Unit Design, and the Perils of DIY Repair","August 16, 2025",,"The video documents a repair attempt on a 2013 Lexus RX350’s climate-control system that centers on a single, integrated actuator unit containing two servo motors (one for mode/air distribution and one for temperature). The host explains how this design can complicate DIY fixes, especially when the previous repair involves cutting plastic and attempting to bypass proper assembly. Across the teardown, the discussion shifts to the broader design philosophy between automotive engineers and mechanics, the difficulty of aligning multiple tiny arms, the challenge of accessing the HVAC box behind the dash, and the risks of damaging the HVAC box or wiring harnesses. A donor car is used to help set the actuator in the correct position, followed by testing with a known-good unit. The host emphasizes meticulous organization (bolts and harnesses), adherence to the repair manual, and a caution against DIYing complex interior repairs or cutting corners, ending with a recap of lessons learned and practical guidance for viewers.",Lexus RX350 HVAC; Dual Climate Control; HVAC System Overview; HVAC Actuator; Servo Motor Design; Mode Door; Temperature Door; Blower Housing; Defrost Door; Footwell Door; Center Console Removal; Dashboard Removal; Blower Housing Removal; HVAC Box Access; AC Amplifier; HVAC Harness Routing; Wire Color ID; Donor Car Method; Repair Manual Guidance; Arm Pin Alignment; HVAC Security Box; HVAC Connector Access; Clock Spring Cable; Design vs Mechanics; Bolt Inventory; Bench Versus In Car,Identify and understand a dual-servo unit inside a single HVAC actuator housing @ 00:53:00; Donor-car-assisted actuator positioning and validation @ 25:30:00; Systematic disassembly to access the HVAC box (blower housing and dash removal) @ 03:22:00; Arm/pin alignment across multiple actuators within the housing @ 18:35:00; Use of repair manual as step-by-step positional guidance @ 26:54:00; Bolt-counting and component-tracking workflow during reassembly @ 34:03:00; Wiring-harness management and identification of option plugs @ 36:31:00; Finalize with live vehicle confirmation and warning about clock spring (spiral cable) behavior @ 37:39:00,8
c4P4wRknWkg.youtube,Modern Toyota Hybrid Maintenance Is Simpler Than You Think,"April 11, 2026",,"The Car Care Nut demystifies practical maintenance on a modern Toyota/Lexus hybrid and an older LS430, focusing on coolant systems and fluids as well as non-routine repairs. The host demonstrates coolant service for both engine and inverter, identifies a dual-radiator setup within a single unit, drains radiators and transmission fluid, and then moves to a weatherstrip repair on the LS430 along with a rear-hatch shock motor swap. Throughout, the video emphasizes real-shop troubleshooting, tool selection (including a wobble socket for tight-clearance drains), and the importance of bleeding procedures and maintenance mode when servicing hybrids. The host also notes design quirks and safety considerations around high-voltage systems, offering practical guidance rather than relying on specialized diagnostics alone.",Hybrid Coolant Drain; Coolant Drain; Dual Radiator Design; ATF Drain and Fill; Hatch Shock Replacement; Weatherstrip Seal Clips; Wobble Socket Access; Hybrid Vent Behavior; Hybrid Maintenance Mode; Hybrid Safety; Hybrid Cooling Bleed,Hybrid coolant bleed procedure (engine and inverter) with staged fills @ 33:06; Wobble socket method to access a tight drain plug @ 24:10; Door weatherstrip seal clip replacement and re-seating @ 08:36; Rear hatch motor/shock replacement and functional testing @ 35:29; Vent and differential vent behavior explanation for hybrids @ 18:27; Hybrid maintenance mode activation steps @ 44:00; Inverter vent leak diagnosis and replacement reminder @ 19:39,10
gbRBMXV1uIk.youtube,"Toyota 2019 4Runner AC Diagnosis: Evaporator Freeze, Expansion Valve, and Sleepless Nights","October 4, 2025",,"The Car Care Nut documents an intermittent air conditioning failure on a 2019 Toyota 4Runner (fifth generation) that only surfaces after extended driving. The shop pursues an ambitious dash-disassembly route to access the evaporator and expansion valve, uncovers rodent damage to the dash harness, and unfolds a multi-day diagnostic saga. Initial testing shows normal pressures, but the evaporator frost progresses with longer drives. The team suspects the expansion valve, replaces the evaporator assembly, and tests with gauges; eventual trouble resurfaces due to a misadjusted compressor clutch air gap and an aging “ID box” security harness, prompting a second round of repair. The video chronicles a roller-coaster process—from dash removal and harness diagnostics to compressor clutch shim adjustments and a recalibrated replacement valve—culminating in a resolved system and reflections on the challenges of intermittent AC faults, customer communication, and shop ethics. The narrative is anchored by live-shop footage and day-by-day progression rather than a single, clean-in-one-go repair.",4Runner HVAC Layout; Evaporator Core; Expansion Valve; Dash and HVAC Access; Cabin Filter Replacement; HVAC Servo Motors; Dash Harness Access; Rodent Wiring Damage; Airbag Grounding Safety; Immobilizer Bypass Cautions; Engine Harness Routing; Evaporator Frost Test; AC Pressure Behavior; Clutch Air Gap Adjustment; Compressor Clutch Inspection; Expansion Valve Comparison; Evaporator Freeze Diagnosis; Repair Fallout Ethics; Diagnostic Workflow,Accessing evaporator/expansion valve by dash removal in a 5th-gen 4Runner @ 00:03:59; Identifying rodent damage to dash harness and planning replacement @ 00:04:47; Cold-start drive testing to provoke evaporator freezing and gauge-based refrigerant observations @ 00:10:10; Compressor clutch air-gap inspection and shim adjustment @ 00:35:08; Warning about aftermarket grounds near airbags and safe grounding practices @ 00:09:45; Evaluating ID box vulnerability and implications for starting the car @ 00:21:15,10
nI7deIZQfBU.youtube,"Toyota Celica 1995 AC Pulley Repair: Pulley-Only Replacement, Shim Gaps, and Reassembly","July 22, 2026",,"In this episode, The Car Care Nut examines a near-mint 1995 Toyota Celica Convertible with about 41,000 miles that is making an AC-related noise. Rather than replacing the entire compressor, he isolates the sound to the compressor pulley and demonstrates a pulley-only repair strategy. The process includes removing the compressor, bench-assembling and inspecting the clutch, explaining how the magnetic clutch works, measuring the clutch gap with a dial indicator, and selecting and installing shims to achieve the spec (~20 thousandths clearance). After validating the gap, he reinstalls the compressor, belts, and lines, charges the AC system, performs an oil and filter change on the 5S engine, and concludes with a tour of the car’s original condition and its maintenance history. The video blends diagnostic reasoning, careful parts selection in the face of scarce vintage parts, and practical, tool-based steps to service aging automotive hardware while preserving originality.",AC Pulley Replacement; AC Compressor Removal; Dual Belt System; Belt Condition Check; Refrigerant Evacuation; Compressor Clutch Parts; Clutch Bearing Replacement; Snap Ring Handling; Clutch Clearance Shim Packs; Dial Indicator Setup; Clutch Gap Clearance; Shim Thickness Selection; Magnetic Clutch Operation; Toyota OEM vs Aftermarket; Compressor Noise Diagnosis; Clutch Bench Test; Reassembly Bolt Replacement; Belt Tension by Feel; 5S Oil Change; Oil Filter Commentary; Original Exhaust; Maintenance History Review,Diagnosis: identify noise source as AC pulley rather than the compressor or clutch @ 00:01:11; Pulley-only replacement strategy for an older AC compressor @ 00:02:36; Bench disassembly of the compressor clutch and bearing inspection @ 00:05:28; Explanation of magnetic AC clutch operation @ 00:07:21; Dial indicator-based clutch gap measurement and zeroing approach @ 00:10:00; Shim-based adjustment to achieve spec clearance (~20 thou) @ 00:12:00; Reassembly with a new bolt and careful alignment before installation @ 00:16:41; AC system charging and post-repair checks paired with an oil/filter change on the 5S engine @ 00:21:10,9
