video,title,date,location,summary,topics,featured_techniques,section_count
-Cs4y-6ltfo.youtube,Color Grading in Photoshop: Camera Raw workflow (Day 21 of 30 Days of Photoshop),"September 21, 2025",,"This PHLEARN tutorial demonstrates a non-destructive color grading workflow in Photoshop using the Camera Raw filter. The presenter converts the background layer to a smart object, applies a Camera Raw filter as a smart filter, and then uses the Color Grading panel to selectively adjust midtones, shadows, and highlights with Hue/Saturation/Luminance controls. The process emphasizes visual experimentation, a before/after toggle, and blending and balance controls to fine-tune how color grades interact with different tonal ranges. A second sample image is used to show the same workflow in a more romantic, straightforward style. The video also covers re-opening Camera Raw for iterative tweaks and using the filter’s opacity for subtler effects, all within a non-destructive editing setup.",Camera Raw in Photoshop; Smart Object Conversion; Convert for Smart Filters; Color Grading Panel; Three Way Grading; HSL Controls; HUD Color Picker; Saturation Luminance Adjustments; Hue Shifts; Camera Raw Grading; Before After Toggle; Blending and Balance; Camera Raw Opacity; Camera Raw Workflow; Camera Raw Reopen; Global Tone Color; Color Grading Samples; Color Grading Workflow; Mood Color Grading; Highlight Saturation Luminance; Smart Filters Comparison; Tonal Storytelling Grading,Camera Raw color grading panel in Photoshop @ 00:58:00; Convert background layer to a Smart Object and apply Camera Raw as a Smart Filter @ 00:31:00; Three-way color grading (midtones/shadows/highlights) with Hue/Saturation/Luminance @ 01:27:00; Blending and balance controls to blend color grading with shadows and highlights @ 04:41:00; Using the opacity control of the Camera Raw filter for subtler color grading @ 09:58:00,5
2wDIiEXM7qQ.youtube,Remove Distractions in Photoshop - Day 11,"September 11, 2025",,"PHLEARN’s Day 11 of the 30 Days of Photoshop teaches two primary strategies for removing distractions from images: a rapid, AI-assisted approach using the Remove tool’s Find Distractions option to eliminate wires and other background clutter with a single click, and a painterly approach that combines the Selection Brush Tool with Generative Fill to remove objects by painting over them and letting AI generate clean replacements. The instructor duplicates the background layer for non-destructive editing, demonstrates one-click removal including background elements and people, and then shows how to paint distractions and apply Generative Fill to produce multiple variations (including hair generation where needed). The video also notes manual alternatives such as the Clone Stamp Tool and Spot Healing Brush for those who prefer non-AI workflows. Overall, the lesson emphasizes quick, scalable distraction removal, with a nod to preserving shadows and continuity, and situates these techniques within the broader 30 Days of Photoshop series.",Background Duplication; Find Distractions Removal; Distraction Removal; Wire Removal; Generative Fill Cleanup; Selection Brush Tool; Generative Variations; AI Hair Removal; Clone Stamp Removal; Spot Healing Brush; Non-Destructive Removal; Object Removal Comparison; Distraction Cleanup,One-click removal using Find Distractions in the Remove tool (AI-assisted) @ 00:01:04; Generative Fill after painting with the Selection Brush Tool to remove objects @ 00:02:38; Non-destructive editing via layer duplication and on/off toggling to compare results @ 00:03:21; Hair generation via AI when removing a region @ 00:03:16; Manual distraction removal options: Clone Stamp Tool and Spot Healing Brush @ 00:03:39,3
4OjzS2liGb8.youtube,"Using Adobe Camera Raw in Photoshop: Lens Blur, Sky Masking, and a Non-destructive Workflow","September 10, 2025",,"PHLEARN’s Day 10 tutorial demonstrates a nondestructive workflow in Photoshop using the integrated Camera Raw tools. The presenter starts by converting the background to a Smart Object, opens Camera Raw to apply Lens Blur for background separation, and then uses Landscape Masking to isolate the sky and push color temperature toward blue. A radial gradient is employed to brighten the subject, followed by targeted color grading on shadows, midtones, and highlights. Throughout, edits are kept nondestructive via Smart Objects and Smart Filters, with the option to reopen Camera Raw at any time to adjust masking or settings. The session emphasizes practical, repeatable steps that beginner-to-intermediate users can adopt directly in their Photoshop workﬂow.”,",Camera Raw Integration; Smart Object Editing; Smart Filters Workflow; Camera Raw Interface; Auto Subject Lens Blur; Lens Blur Bokeh; Sky Masking; Camera Raw Sky Masking; Sky Highlights; Radial Exposure Gradient; Mask Feathering; Three Way Color Grading; Camera Raw Toggle; Reopening Camera from Photoshop; Smart Object Workflow,"Lens Blur with auto subject detection @ 00:01:35; Sky isolation using Landscape Mask @ 00:02:31; Adjusting sky color with color temperature @ 00:02:54; Radial Gradient to brighten subject @ 00:03:22; Color Grading in Camera Raw (shadows, midtones, highlights) @ 00:04:13; Reopening Camera Raw from Photoshop for iterative edits @ 00:05:16",9
5dJl_Lr5TGQ.youtube,Explore Blending Modes in Photoshop - Day 18 (PHLEARN),"September 18, 2025",,"In this PHLEARN tutorial, Day 18 of 30 Days of Photoshop systematically demonstrates blending modes and their practical uses. The instructor places blending modes into groups (Normal, Darken, Lighten, Overlay, and the Calculation family) and explains when each group is typically useful. Through a series of non-destructive, hands-on edits, he shows how to composite images, colorize light and color information, and creatively grade with gradient maps. Key techniques include: converting imported images to smart objects for non-destructive edits; using Levels to white out or darken backgrounds in conjunction with Multiply or Screen blend modes; leveraging light leaks and bokeh overlays with Screen or Lighten-based blends; and using gradient maps and Hue/Saturation to color-grade and harmonize a final image. The session emphasizes practical workflow over memorizing every mode, and demonstrates fast iteration with keyboard shortcuts to cycle blending modes.",Blend Modes Overview; Normal vs Dissolve; Darken Blend Modes; Lighten Blend Modes; Overlay Blend Modes; Calculation Blend Modes; HSL Blend Modes; Levels Blend Mode; Color Layer Blur; Objects Smart Filter Conversion; Blend Mode Cycling; Place Linked; Light Leak Overlays; Hue Saturation Colorize; Gradient Map Grading; Soft Light Overlay; Light Leak Copy Transform; Non-Destructive Adjustments,Non-destructive editing with Smart Objects and Smart Filters @ 00:07:00; White-background isolation using Levels with Screen/Multiply @ 00:07:50; Multiply blend mode to composite foreground over light background @ 00:08:25; Light leak overlays using Screen blend mode @ 00:11:56; Colorization and refinement of light leaks with Hue/Saturation @ 00:14:54; Duplication and transformation of overlays for multi-source lighting @ 00:15:41; Gradient Map for fast color grading and harmonization @ 00:17:40; Two-image workflow using Soft Light/Overlay with Gaussian Blur for mood @ 00:18:50,8
6jXR7JkssYY.youtube,Lightroom vs Photoshop Editing – Day 29 (PHLEARN),"September 29, 2025",Mongolia,"PHLEARN’s Day 29 lesson contrasts Lightroom’s batch editing, organization, and cloud-style workflow with Photoshop’s single-image, layer-based editing. The video demonstrates a practical end-to-end workflow: importing a batch of sample images into Lightroom Classic, organizing with catalogs and metadata, rating and filtering to identify favorites, renaming and foldering to mirror the file system, syncing edits across multiple photos, and performing a color-grade pass. It then transitions to Photoshop to perform a sky replacement on a single image, showing layer-based editing, masking, and export of a PSD back into Lightroom. The session emphasizes how Lightroom handles mass photo management and bulk edits while Photoshop handles targeted, composite edits and final fine-tuning.”",Lightroom Classic Workflow; Lightroom vs Photoshop; Library Module Basics; Develop Module Basics; Sync Settings Batch Editing; Metadata Filtering; Lightroom File Organization; Black White Batch Export; Edit in Photoshop; Layers Sky Replacement; PSD Sync Workflow; Show in Finder; Image Organization; Compare View Navigation,"Importing and adding a batch of images into Lightroom Classic @ 00:04:51; Using Library and Develop modules to manage editing and organization @ 00:05:03; Culling with grid view, filmstrip, and star ratings @ 00:07:14; Filtering by metadata to isolate five-star images @ 00:09:45; Batch editing with Sync Settings @ 00:12:55; Color grading and auto adjustments in Develop @ 00:11:48; Auto settings and reset in Develop @ 00:13:39; Renaming files and mapping Lightroom folders to OS directories @ 00:16:41; Exporting black-and-white edits and renaming on export @ 00:20:40; Edit in Photoshop for sky replacement and masking @ 00:23:24; Saving and re-importing PSD into Lightroom @ 00:25:16",7
78MCz6BpeXM.youtube,PHLEARN: 30 Days of Photoshop 2025 Edition - Intro,"August 31, 2025",,"This PHLEARN intro video announces the 2025 edition of 30 Days of Photoshop, hosted by Aaron Nace. It frames the series as rebuilt from the ground up since the 2019 launch, aiming to take learners from opening Photoshop to producing professional images across daily, focused lessons. The host highlights a trajectory from fundamentals to more complex projects, covering both manual techniques and AI-driven tools. Key AI capabilities introduced include generative fill to add or remove content, generative expand to extend image boundaries, and Select Subject for automatic focus on the main subject, alongside dynamic text and retouching and compositing techniques. The video emphasizes a non-destructive workflow using layers and masks, workspace customization, and a deep understanding of color and tone. Viewers are invited to join a newsletter for a printable calendar and a scheduled email series, promising a 30-day mastery by the end of the program.",Layers and Masks; Workspace Customization; Color Tone Fundamentals; Generative Fill; Generative Expand AI; AI Select Subject; Dynamic Text; Retouching Techniques; Photo Compositing; Daily Lesson Format; Photoshop AI Features; Newsletter Signup,Non-destructive editing with layers and masks @ 01:12:00; Generative Fill (AI-assisted content changes) @ 01:41:00; Generative Expand (AI-assisted image expansion) @ 01:46:00; Select Subject (AI-based auto-selection) @ 01:59:00; Dynamic Text (typography effects with AI-assisted workflow) @ 02:04:00; Photo compositing of multiple images @ 02:24:00; Retouching techniques overview @ 02:16:00,5
7I4UVtyKjIo.youtube,Composite Lighting with Light Streaks in Photoshop — Day 30 (PHLEARN),"September 30, 2025",,"PHLEARN’s Day 30 lesson closes the 30 Days of Photoshop series with a final composite project. The instructor imports a subject image and a collection of light-streak assets, then builds a layered, lighting-rich composite using non-destructive workflows: smart objects and smart filters, layer masks, and a variety of blend modes (notably Screen). The process involves masking the subject, duplicating and repositioning light layers, and experimenting with color and exposure through Levels adjustments on RGB channels. A Camera Raw finish (radial gradient, vignette, grain) and a lens blur pass further integrate the lighting with the subject, while techniques like applying images and copying smart filters across layers keep edits flexible. The video emphasizes experimentation and play, with downloadables and a reminder that all steps can be adjusted or undone for different artistic outcomes.",Screen Blend Mode; Light Streak Layers; Smart Object Filters; Masking Basics; Select Subject; Mask Linking; Invert Mask; Free Transform; Mask Transfer Shortcut; Mask Transfer; Per Channel Levels; RGB Channel Control; Layer Alignment Duplication; Channel Levels Grading; Motion Blur Smart Objects; Smart Filter Motion Blur; Camera Raw Finishing; Camera Raw Gradient Mask; Camera Raw Vignette Exposure; Lens Blur Masking; Apply Image Consistency; Smart Filter Transfer; Resource Download; Wrap Up Encouragement,"Screen blend mode applied to light streak layers to create lighting effects @ 00:01:51; Non-destructive editing with Smart Objects and Smart Filters (Levels as smart filter) @ 00:02:23; Select Subject for rapid subject masking @ 00:03:09; Mask inversion and management (Invert Mask, detect visibility) @ 00:04:25; Copying layer masks between layers via Alt/Option drag @ 00:06:43; Mask and layer relationship: linking vs unlinking in Photoshop @ 00:03:40; Color channel manipulation using Levels on RGB channels @ 00:08:08; Converting to Smart Object for blur (motion blur via Smart Filters) @ 00:13:12; Applying Motion Blur through Smart Filters @ 00:13:34; Camera Raw filter with radial gradient masking for focus and exposure @ 00:17:43; Lens blur and selective focus using painting masks @ 00:18:31; Apply Image workflow to propagate edits to new versions @ 00:20:31; Copying smart filters to new layers via Alt/Option drag @ 00:20:52",6
8HwUwsHb9Pc.youtube,"Day 28: Exporting Images in Photoshop – Layered PSD, JPEG Deliverables, and Camera Raw Tweaks","September 28, 2025",,"PHLEARN’s Day 28 walks through practical, non-destructive export workflows in Photoshop. The instructor starts with background editing by replacing city scenery with a nature backdrop using Generative Fill, then removes a logo from the subject’s hat, and groups layers. A smart-filter workflow is shown by combining layers with Apply Image and applying a Camera Raw filter to add a vignette and perform color grading (shadows, midtones, highlights) while maintaining editability. The video emphasizes saving two deliverables: a layered PSD for future edits and a flattened JPEG suitable for print, web, or social sharing. It covers export settings in depth—format choices (PSD vs JPEG vs TIFF/PDF), color space (sRGB with embedded profile), metadata handling, and scale options (1x and 0.5x) to produce multiple sizes from a single project. The result is a clear, repeatable approach to producing web- and print-ready assets from a single Photoshop document.",Photoshop Overview; Layered PSD Export; JPEG Export Overview; Large Document Format; TIFF Export; PDF Export; Apply Image; Smart Filters; Convert for Smart Filters; Background Replacement; Firefly Generative Fill; Radial Gradient Masking; Camera Raw Filter; Camera Raw Vignette; Color Grading; Shadows Midtones Highlights; Export As Dialog; Color Space Conversion; sRGB Profile; Embed Color Profile; Metadata Handling; Image Resampling; Image Scaling; Export Folder Organization,"Generative Fill to replace background with nature backdrop @ 00:01:12; Logo removal on hat using remove/paint approach @ 00:02:00; Convert for Smart Filters and apply Camera Raw filter with radial vignette and color grading @ 00:04:10; Export As workflow: JPEGs, 1x and 0.5x, with sRGB color space and embedded profile @ 00:09:00",8
A8gwBWmvius.youtube,"Dodge & Burn in Photoshop - Day 19 (Non-destructive workflow with adjustment layers, masking, and Blend If)","September 19, 2025",,"This PHLEARN tutorial (Day 19 of 30 Days of Photoshop) surveys both traditional and non-destructive approaches to dodging and burning. It begins by acknowledging the destructive nature of the native Dodge and Burn tools on the background layer, then presents a non-destructive alternative using adjustment layers (notably Brightness/Contrast) with masks that can be toggled, masked, and re-tuned over time. The instructor introduces refining these adjustments with layer masks, inverting masks, and painting with white on the mask; then shows how to isolate edits to the subject using Select Subject and grouping. A highlight is the Blend If technique, which confines dodging/burning to highlights or shadows based on the underlying pixels, enabling very natural results. The video emphasizes a non-destructive, adjustable workflow where edits remain reversible, grouped, and adjustable in real time, and it ends with a downloadable PSD/sample image for hands-on practice.",Dodge Tool; Burn Tool; Non-Destructive Editing; Adjustment Layer Workflow; Brightness Contrast Adjustment; Layer Masks; Ctrl/Cmd+I Mask Inversion; Mask Brush Tool; Brush Flow Opacity; Select Subject; Layer Grouping Workflow; Group Mask Control; Group Mask Dodging; Blend If Layer Style; Blend If Refinement; Highlight Shadow Isolation; Editing Workflow; Group Opacity; PSD Study Download,Non-destructive dodging/burning with adjustment layers (Brightness/Contrast) and layer masks @ 00:02:46; Subject-focused dodging/burning via Select Subject + Grouped adjustments @ 00:06:12; Blend If to isolate highlights/shadows for more natural dodging/burning @ 00:08:14; Mask inversion and painting on the adjustment-layer mask to precisely reveal edits @ 00:03:29,6
FxOhmgRVRzA.youtube,"Dynamic Text in Photoshop: Auto-Format, Centering, and Masking Behind Objects (Day 14)","September 14, 2025",,"This PHLEARN tutorial (Day 14 of 30 Days of Photoshop) guides viewers through typography basics with the Type tool and the new dynamic text feature. It starts with standard text setup: choosing font, size, weight, alignment, and manual controls for leading and tracking, including mixing bold and regular within a single line and adjusting line breaks. It then introduces dynamic text, demonstrating how converting to dynamic text makes text auto-fit to its bounding box and remain editable, with real-time reflow as the box is resized. Finally, the lesson shows a practical compositing trick: masking the ocean background and unlinking the dynamic text from the mask so the text can sit behind a foreground object (a fish) for a high-end look, with guidance on moving and editing text even after masking.",Type Tool Activation; Type Options Bar; Left Alignment; Type Formatting Options; Mixed Font Weights; Multi-Line Text Editing; Character Panel Basics; Leading and Tracking; Type Spacing Adjustments; Text Center Alignment; Dynamic Text Editing; Select All Text; Dynamic Text Conversion; Dynamic Text Resizing; Dynamic Text Reflow; Dynamic Text Placement; Ocean Color Range; Dynamic Text Masking; Text Mask Unlinking; Behind Object Positioning,Dynamic text auto-formats to bounding box and resizes to fit @ 00:05:30; Converting a standard text layer to dynamic text and editing content @ 00:05:11; Unlinking dynamic text from its layer mask to allow independent movement behind objects @ 00:08:52; Color Range selection to isolate the ocean background for masking @ 00:07:58; Creating multi-weight typography within a single line by selectively applying Regular/Bold @ 00:02:04,4
