video,title,date,location,summary,topics,featured_techniques,section_count
-k_84hdHeTc.youtube,"Toilet Flange Height Solutions: Wax Seal, Shims, and a New Long-Bolt Kit (Ask This Old House)","January 17, 2026",,"This Old House’s Ask This Old House episode explains the critical seal beneath a toilet between the toilet flange and the sewer line, detailing typical components, failure modes, and practical DIY solutions for height or wobble issues. The segment covers standard configurations (closet flange, wax seal, bolts), how a floor with rot or raised grades affects sealing, and common strategies to adjust height (flange shims, plywood underlayment). It then introduces an advanced flange kit with longer bolts and integrated wax-seal hardware designed to accommodate significant up- or down- building, including a low-profile mounting method with captive fasteners and a “shock-absorber” style mechanism to preserve a positive seal during installation. The discussion highlights trade-offs, such as the potential need for a plumber for pipe modification versus DIY shim-and-kit approaches, and ends with practical tips on trimming bolts and finishing hardware.",Closet Flange; Toilet Flange; Wax Seal; Wax Ring; Closet Bolt Alignment; Toilet Horn; Flange Height; Seal Integrity; Flange Shims; Flange Shim Gluing; Floor Rot; Plywood Underlayment; Three-Quarters Inch Underlayment; Raised Grade; Wax Seal Horn; Flange Shim Range; Long Bolt Flange Kit; Integrated Flange Kit; Plastic Mounting Tab; Captive Bolts; Long-Bolt Shock Absorber; Bolt Height Adjustment; Bolt Cutting Caps; Build-Up Tolerance; DIY Plumber Help,Standard closet flange with wax seal and bolts @ 00:00:28; Flange height adjustment using flange shims (glued when used together) @ 00:01:58; Wax seal with horn for added height @ 00:01:43; Long-bolt flange kit with integrated wax seal @ 00:02:36; Plastic captive tab to hold flange components in place during install @ 00:02:53; Shock-absorber style mechanism to maintain seal during lowering @ 00:03:11; Trimming bolts and capping for finished installation @ 00:03:23; Choosing kit-based approach for large build-ups (1–1.5 inches) vs standard methods @ 00:03:29,3
5nBid5ZIq80.youtube,Toilet Tank Evolution: High-Tank (1880s) to Modern Flush Valve,"April 18, 2026",,"This Old House host walks through the anatomy of a late-19th-century high-tank toilet and contrasts it with a contemporary tank, illustrating how different components functioned, why older systems were prone to failure, and how modern designs achieve reliable flushing with far less water. The discussion identifies four legacy parts (tank lever, flush valve, fill valve, and copper-walled tank with a copper tank ball float) and traces the transition to a modern flush valve with a flapper, a two-shank overflow, an adjustable fill valve, and a refill tube. The narrative explains the flow path during flush, the role of the siphon jet, and how bowl refill maintains proper water level. It also covers practical maintenance by highlighting two key adjustments—tank lever travel and float level—to ensure a one-flush, water-saving operation, including recommended target water level (about three-quarters of an inch below the overflow).",High-Tank Toilet; Wall-Mounted Tank; Copper-Lined Tank; Tank Lever; Flush Valve Mechanism; Fill Valve; Tank Ball Float; Tank Overflow Risk; Bronze Brass Flush Valve; Stem Wires; Lift Wires; Overflow Tube; Modern Flush Valve; Flapper Replacement; Tank Lever Chain; Overflow Shanks; Refill Tube; Siphon Jet; Bowl Refill Rim Jets; Bowl Rinse; Bowl Refill; Water Efficiency History; Flush Volume Comparison; Water Level Adjustment; Phillips Screw Adjustment; Three-Quarters Inch Rule; Tank Levers,Historical high-tank vs modern flush valve anatomy demonstration @ 00:00:12; Modern flush valve and flapper operation with chain @ 00:02:04; Bowl refill and refill tube explanation @ 00:04:04; Water-flow path: flush rim and siphon jet @ 00:03:43; Float level adjustment using screwdriver slot @ 00:04:57,8
7ePc9cz__FM.youtube,"Repair Toilet Tank Components: Flapper Replacement, Chain Adjustment, and Fill-Valve Settings","January 15, 2020",,"This This Old House segment explains how a standard toilet tank works by distinguishing the flush valve (including the flapper) from the fill valve, and then demonstrates practical repair steps to stop common leaks. The host emphasizes that leaks inside the tank waste water, and walks through identifying a worn flapper, replacing it, and adjusting the chain so the tank lever operates correctly. The video also covers setting the fill-valve height so the tank stops filling about one inch below the overflow, discusses the difference between old brass float rods and modern built-in floats, and highlights safety considerations of the overflow tube. Throughout, the emphasis is on turning off the water before work, testing after each adjustment, and avoiding over-tightening to prevent recurrent leaks.",Tank Components; Flush Valve Mechanism; Flapper Replacement; Fill Valve; Overflow Tube; Overflow Safety Device; Tank Lever; Tank Chain; Chain Length Adjustment; Water Level Setting; Overflow Level Setting; Modern Float; Brass Float Rod; Fill-Valve Adjustment; Leak Testing; Shutoff Valve,Identify and label toilet tank components (flush valve and fill valve) @ 00:00:41; Replace flapper and clip onto tank @ 00:01:40; Adjust chain length to prevent leaks @ 00:02:02; Set fill-valve water level to ~1 inch below overflow @ 00:02:59; Explain difference between old brass float rod and modern float; adjust with threaded collar @ 00:03:36,4
JMa8hur4XhM.youtube,"Converting a Toilet to Dual-Flush: Retrofit, Valve Installation, and Bowl Refilling","October 30, 2014",bathroom,"This Old House walks a homeowner through converting an existing 3.5 gallons-per-flush toilet into a dual-flush model using a retrofit valve and a two-button actuator. The video covers removing the old tank lever, installing a dual-flush valve with a blue gasket, attaching a two-button actuator (one for liquids, one for solids), and reconfiguring the fill valve to ensure the bowl refills adequately after a reduced liquid flush. The host demonstrates turning off the water, draining the tank, wiring and securing components, and then testing a liquid flush that uses significantly less water while preserving a full flush for solids. A noted tradeoff is that the bowl needs adequate refill water, prompting a later adjustment with an adjustable fill valve and refill tube to restore proper bowl performance. The segment ends with a recap of how to use the top (liquids) and bottom (solids) buttons and the expected water savings.",Toilet Flush Rating; Dual Flush Retrofit Kit; Dual-Flush Actuator; Dual Flush Volumes; Dual Flush Water Meter; Water Shutoff; Tank Lever Removal; Left-Handed Tank Lever Thread; Dual-Flush Valve Install; Overflow Bracket Attachment; Flush Valve Tie; Right-Handed Actuator Thread; Bowl Refill Tube; Bowl Refill Valve; Bowl Refill Height; Flush Performance Testing; Water Savings Recap,Dual-flush retrofit installation (two-button actuator) with independent liquid/solids paths @ 00:01:30; Valve swap: install dual-flush valve with blue gasket and secure to overflow @ 00:02:36; Reconfiguring linkages: converting from tank lever to two-button actuator (including threading notes) @ 00:03:10; Bowl refill strategy: direct refill tube and adjustable fill valve to maintain bowl performance @ 00:05:14; Securement and alignment: use of a cable tie to snug down the valve assembly @ 00:03:04; Field observation and tuning: measuring bowl water line to ensure adequate flush height @ 00:04:21,8
LNGdzKEls94.youtube,Noisy Toilet Repair: Flush Valve Replacement and Tank Reassembly (This Old House),"March 26, 2016",,"A This Old House segment diagnosing a noisy toilet guides viewers through identifying a faulty flush valve as the noise source, explains the age and design of a 1990s-era low-flow toilet, and then demonstrates a full valve replacement. The host walks through turning off water, draining and removing the tank from the bowl, replacing the flush valve and associated gaskets and hardware, and reassembling with careful adjustments to chain length, refill tube placement, water level, and flush volume. The episode concludes with notes on balancing performance and water conservation, noting that the result is effectively a brand-new toilet built from standard modern components.",Toilet Repair; Flush Valve Replacement; Fill Valve Replacement; Tank-to-Bowl Disassembly; Spud Gasket Installation; Brass Bolt Hardware; Flush Valve Rebuild; Chain Length Adjustment; Refill Tube Placement; Main Water Shutoff Overview; Water Level Adjustment; Flush Volume Adjustment; Adjustable Overflow; Water Conservation; Low-Flow Toilet Era; Date Code; Reservoir Design; Toilet Maintenance; Final Assessment,Flush valve replacement in a toilet tank @ 00:03:56; Tank-to-bowl reseal using spud gasket and brass hardware @ 00:04:01; Chain-length adjustment to ensure immediate flush @ 00:06:23; Adjusting flush volume and refill dynamics for water conservation @ 00:07:11; Setting an adjustable overflow to prevent overflow @ 00:07:47,5
LcPdUbhvEVU.youtube,Graywater Toilet Retrofit: Integrated Hand-Wash Sink Demonstration,"August 25, 2014",,"This This Old House video presents a retrofit approach to turn a standard toilet into a graywater-capable unit by adding an integrated hand-wash sink above the tank. The host first explains the normal operation of a toilet tank (flapper, fill valve, refill tube) and notes that both the tank refill water and the bowl refill water are clean. The demonstration then shows a retrofit kit that replaces the refill tube with a clear plastic tube to divert water to a top device and toward the bowl, enabling a hand-washing sink to receive clean water after flushing. A spacer is introduced to accommodate different tank lengths. The clip concludes with the claim that the kit can be installed on standard toilets to provide a dedicated hand-washing sink while maintaining the standard bowl refill cycle. The product is described as originating from Australia and is marketed as a retrofit option available in the United States.",Graywater Toilet Retrofit; Toilet Tank Anatomy; Flapper Replacement; Fill Valve; Refill Tube; Integrated Hand-Wash Sink; Graywater Retrofit Kit; Water Diversion; Top-Mounted Faucet; Clear Tube Installation; Bowl Refill; Tank Spacer; Standard Toilet Retrofit; Australian Origin; This Old House Demo,Retrofit kit for converting a standard toilet into a graywater toilet @ 00:00:51; Replacing the refill tube with a clear plastic tube to route water @ 00:01:03; Directing water to the top of a device to feed a hand-wash faucet @ 00:01:05; Routing discharge back to the bowl via the refill tube @ 00:01:10; Spacer/expansion to fit different tank lengths @ 00:01:13; Using an integrated hand-wash sink with toilet operation @ 00:01:20,3
NLrh7Jowr78.youtube,"How to Install a Dual-Flush Toilet (Skirted) — Mounting, Wax Seal, Tank, and Water Connection","November 21, 2014",Probable bathroom,"This Old House demonstrates installing a skirted, dual-flush toilet, including discussion of dual-flush operation (0.9 gpf for liquids and 1.6 gpf for solids) and a concealed mounting system. The video walks through removing the old wax seal and bolts, using a manufacturer template to place mounting blocks, drilling through tile and into wood, installing mounting hardware and a wax ring, dropping the toilet into place, securing it with brass screws and chrome caps, and assembling the tank to the bowl with a gasket and bolts. It then covers connecting the water supply and refill tube, reinstalling the flush valve, turning the water back on, and placing the tank top. The transcript notes practical tips such as keeping the wax seal at room temperature for compression and using a sharp masonry bit for tile work.",Dual Flush Operation; Skirted Toilet Mounting; Wax Seal Flange; T-Head Closet Bolts; Mounting Block Placement; Tile Hole Drilling; Pilot Hole Drilling; Mounting Hardware; Chrome Screw Caps; Tank-to-Bowl Bolts; Flexible Supply Line; Refill Tube Connection; Water Connection Setup,Skirted toilet with concealed closet bolts @ 00:00:09; Using manufacturer template to locate mounting blocks @ 00:01:00; Drilling tile with masonry bit and switching to pilot-hole bit for wood @ 00:01:35; Wax seal handling with room-temperature timing to aid compression @ 00:02:12; Securing tank to bowl with gasket and bolts @ 00:03:24; Concealing mounting hardware with chrome caps @ 00:02:58; Connecting water supply and refill tube @ 00:04:00,8
OjSbQhXTdHI.youtube,"How to Repair a Leaking Toilet: Wax Rings, Flange Height, and Spacers","February 14, 2016",New York (caller location),"This Old House's Ask This Old House episode guides diagnosing a leaking toilet by examining common leak sources (water-supply connections, tank-to-bowl gasket, and flange seals), explains the wax ring’s role and how floor instability can deform it, and presents modern height-adjustment options (foam gaskets and flange spacers) to restore a proper seal. The host emphasizes securing the flange to structural supports, accurately restoring flange height to finish-floor level, and finally returning to a conventional wax seal once the height is correct, to achieve a durable, non-rocking installation.",Toilet Leak Diagnosis; Supply Line Leak; Nut Leak Diagnosis; Tank-to-Bowl Gasket; Closet Bolt Alignment; Closet Flange; Wax Ring; Toilet Flange Seal; Floor Level Wax Deformation; Flange Height Solutions; Wax Seal Height; Reinforced Wax Ring; Foam Gasket Alternatives; Flange Height Spacers; Gasket Push-Down Methods; Flange Within Flange; Wax Seal Installation; Toilet Leveling Rocking Control,Identify leak sources by inspecting water-supply nut and tank-to-bowl gasket; tighten as needed @ 00:00:19; Inspect and tighten closet bolts and the gasket at the tank-to-bowl interface to seal @ 00:00:34; Wax ring function and deformation due to floor rocking; proper connection seals against sewer gas and water @ 00:01:12; Address flange height issues caused by tile work; raise flange using spacers to original height @ 00:02:31; Use foam gasket and other height-adjusting products as alternatives to wax @ 00:02:11; Return to conventional wax seal after achieving correct height and level @ 00:02:58; Ensure level floor and prevent rocking before final sealing @ 00:03:03,4
PnXezZt6OMk.youtube,Toilet Flange Replacement and Toilet Installation (Compression Flange) Tutorial,"August 27, 2013",probable bathroom floor,"This Old House demonstrates diagnosing a wobbling toilet caused by an elevated, broken cast-iron closet flange and walks through replacing the flange with a compression flange, securing it to the floor, providing a wax-ring seal to the toilet, and finishing with bolt cap trimming and a wiggle test to verify stability. The speaker notes the flange’s height relative to the old floor, removes and replaces the brittle cast-iron piece, aligns bolts, installs the wax ring, and completes the assembly with the toilet mounted and tested for wobble and leaks.",Toilet Flange; Cast Iron Closet Flange; Flange Replacement; Compression Flange Repair; Compression Flange Gasket; Wax Ring; Closet Bolts; Brass Ring Bolts; Bolt Installation Sequence; Cap Trimming; Mini Hacksaw; Wiggle Test; Floor Protection; Flange Height Setup; Pry Bar Chisel; Closet Bend Protection,Removal of a broken cast-iron flange with a cold chisel @ 00:00:50; Prying the flange with a flat bar while protecting the floor @ 00:01:05; Installing a compression flange with rubber gasket to seal to the closet bend @ 00:01:21; Centering and aligning closet bolts with the wax ring @ 00:02:39; Trimming long brass bolts to fit bolt caps using a mini hacksaw @ 00:03:38; Performing a wiggle test after mounting @ 00:04:08,3
Y2o8upCxcqA.youtube,"How a Plumbing Trap Can Lose Water: Traps, Vents, and Common Causes","May 1, 2016","North Carolina, USA","This Old House explains how a washing machine drain can pull water out of a toilet trap when a vent is absent or clogged, by using a mock-up to illustrate traps and water seals. The video defines key plumbing elements—P-traps, toilet traps, and vent pipes—and demonstrates how a vent allows air into the drainage system to prevent negative pressure and gurgling. It contrasts unvented versus vented drain conditions, discusses where vents should connect, and covers several mechanisms that can cause trap seals to fail, including oscillation from wind, siphonage with S-traps, capillary action, evaporation, and momentum. The host offers practical notes on checking vents, considering mechanical vent options, and refilling traps if sewer gas smells occur.",P Trap; Toilet Trap; Trap Water Loss; Sewer Gas Prevention; Trap Gurgling Sounds; Vent Trap Venting; Vent Pipe; Air Ingress; Unvented Fixture; Vent Clog; Mechanical Vent; Main Vent; Vent Oscillation; Washing Machine Drain; Washer Discharge Slug; Trap Backpressure; Air Relief; Trap Siphonage; S Trap; Full S Trap; Capillary Attraction; Trap Evaporation; Trap Venting; Trap Oscillation; Trap Refilling; Vent Problem Diagnosis,P-trap and toilet trap water seal demonstration (mock-up) to show how traps hold water and block sewer gas @ 00:00:30; Vent vs. unvented drainage behavior demonstrated by simulating air entry to prevent vacuum and improve drainage @ 00:01:12; Discussion and illustration of mechanical vent options as alternatives to roof-venting @ 00:02:59,6
