video,title,date,location,summary,topics,featured_techniques,section_count
-04Et5qIoa4.youtube,How to Hold a Guitar Pick & Best Guitar Picks,"May 11, 2020",,"This beginner-focused tutorial surveys guitar picks and holding technique, recommending starting with ultra-thin nylon picks for ease of use and strumming. It introduces several pick options by thickness and material (including Dunlop USA Nylon 0.46 mm and 0.60 mm, orange Tortex, and the premium BlueChip) and explains how each affects control, click, and tone, especially on acoustic guitar. The video also demonstrates a holding method—having the pick exit from the side of the thumb for better strumming—and advises trying multiple picks at a store (buying about ten to compare feel). It notes that while picks simplify strumming and accuracy for beginners, some famous players don’t use picks, and players can switch to or away from picks as they progress.",Guitar Picks; Pick Thickness; Ultra Thin Picks; Dunlop USA Nylon 0.46 mm; Foldable Pick; Pick Click Tone; Pick Tone; Nylon Pick; Orange Tortex Pick; Pick Holding Basics; Single Note Picking; BlueChip Pick; Pick Value; Pick Testing; Pick Holding; Thumb Protrusion; Pick Holding Position; Pickless Playing,"Use the thinnest pick for beginners (e.g., 0.46 mm nylon) to maximize forgiveness and ease of strumming @ 00:00:36.951; Identify a specifically flexible pick: Dunlop USA Nylon 0.46 mm @ 00:00:40.316; Explain foldability and paper-like feel of ultra-thin picks @ 00:00:48.747; Experiment with multiple picks (buy ten, try different materials and brands) @ 00:03:40.405; 0.60 mm nylon pick: flexible but less foldable; balance between control and playability @ 00:01:35.083; Nylon picks add a click/percussive effect helpful for acoustic tone @ 00:01:45.155; Orange Tortex: thicker, stiffer option preferred for note picking @ 00:02:15.104; BlueChip pick: nearly no flex, very stable but expensive @ 00:02:53.558; Hold the pick from the side of the thumb for better strumming control @ 00:04:15.844; Aim for about a centimeter of pick protruding from the thumb for beginners @ 00:04:27.698; Beginner guidance: start with a pick, but you may switch or ditch it later @ 00:05:02.727",4
-SAo7bvQzmA.youtube,Readiness Criteria to Move On to Lesson 2 — Memorize A and D Chords and Master Chord Changes,"May 11, 2020",,"In this brief guidance, JustinGuitar outlines concrete criteria to decide when a beginner is ready to advance from Lesson 1 to Lesson 2. The core requirements are: memorize the A and D chords so you can form and identify them by feel without looking at a chart, and be able to change between those two chords at a steady pace (starting around 30 changes per minute, with a long-term goal of about 60 changes per minute). He emphasizes a practical timeline (most students can reach readiness in 2–4 weeks, with a hard cap of about 4 weeks). If progress stalls or boredom appears after a couple of weeks, it’s acceptable to move on to the next lesson to keep practice engaging, especially if you’ve also managed to play a song and maintain chord-change practice. He also notes that if in doubt, you can watch the final left-handed Lesson 1 video for reassurance before proceeding, and he signs off when readiness is confirmed.",A Major Chord; D Major Chord; Memorize Without Chart; Finger Position Memory; Changes Per Minute; 30 Changes Goal; 60 CPM Target; Readiness and Boredom; Progress Reinforcement Playing; Practice Timeline; Readiness Check; Next Steps Guidance,Memorize A and D chords @ 00:30.146; Chord recognition by memory (without charts) @ 00:31.816; Target chord-change rate: 30 changes per minute @ 00:45.157; Long-term tempo goal: 60 changes per minute @ 01:00.141; Advancement when progress stalls (move on to stay engaged) @ 01:14.816; Recommended readiness window (2–4 weeks; max 4 weeks) @ 02:04.574; Left-handed Lesson 1 fallback for reassurance @ 02:17.434,4
-SkW_7GcBvQ.youtube,JustinGuitar Lessons & Songs App Global Launch — Feature Highlights,"September 3, 2021",JustinGuitar studio,"This 53-second YouTube Shorts promo presents the global launch of the JustinGuitar Lessons and Songs app. The speaker highlights key features—backing tracks that sound like the original recording, a new interface, and alignment of the beginner course with the site—along with a free tuner and a giveaway of 10 free subscriptions. Viewers are directed to a link in the description to enter, and feedback is invited, with a closing note encouraging use of the tuner regardless of subscription status.",Global Launch; App Overview; Record-Like Backing Tracks; New App Interface; Course Website Alignment; Free Tuner; Subscription Giveaway; App Entry Link; User Feedback; App Video Context; Content Cross Promotion,Global product launch and feature overview for a guitar app @ 00:00:12; Backtracking audio feature: backing tracks sounding like the original recording @ 00:00:19; Free tuner feature highlighted during promo @ 00:00:39,12
0EbliWAtnw0.youtube,How to Level Up Any Strumming Pattern | Guitar for Beginners,"May 20, 2020",,"In this JustinGuitar lesson, the instructor reframes strumming as a flexible, musical skill rather than a rigid sequence. He emphasizes that players can add or omit strums without penalty, and that small, periodic variations (akin to drum fills) keep patterns sounding lively. The core guidance centers on building a relaxed, continuous arm motion as the foundation for all patterns, while encouraging the learner to experiment with different patterns, practice with a metronome to lock tempo, and incorporate dynamic control (soft to loud) and subtle pick-hand adjustments. The video also highlights practical habits: journaling preferred patterns, using a printable sheet from a previous lesson, and a disciplined 2-minute metronome practice per session to automate the strumming process and prepare for chord changes or singing.",Strumming Pattern Flexibility; Strum Variations; Pattern Variations; Drum Fill Analogy; Timing Sequence; Relaxed Strumming Base; Continuous Strumming; Pattern Variation; Metronome Timing Practice; Tempo and Time Feel; Metronome Relaxation; Soft Loud Dynamics; Light Pick Holding; Pick Control Technique; Pattern Journaling; Two Minute Metronome; Strumming Automation; Chord Change Distraction,"Relaxed arm motion as the foundation for strumming @ 00:02:00; Incorporating small, musical pattern variations at bar boundaries @ 00:01:26; Metronome-based timing with a relaxed feel (not robotic) @ 00:02:42; Dynamics and soft picking: light grip and finger involvement @ 00:04:02; Pattern journaling and 2-minute metronome practice to automate rhythm @ 00:05:45",6
0GTuvZmVDUY.youtube,Building a Personal Guitar Repertoire: Creating and Using a Songbook for Beginners,"May 25, 2020",,"JustinGuitar’s lesson advocates assembling a personalized repertoire songbook to support practice, performance, and collaboration. It walks through a practical workflow: use a display folder to hold printable lyric-and-chord sheets, compile your favorite songs into a single repertoire for regular practice, and share printed sheets with other musicians during jams. The video also covers portable digital options (saving PDFs in cloud storage like Dropbox for phone access) and emphasizes keeping a lean, manageable set of songs (around 20) to avoid overwhelm. The core message is that a well-constructed rhythm of physical and digital song sheets improves readability, memory, and the ability to play along with others, whether at home, at parties, or in gigs, with tools such as a dashboard or beginner app to organize songs.",Personalized Songbook; Clear Sheet Folder; Chorded Song Sheets; Printable Song Sheets; Repertoire Book; Repertoire Practice; Printed Sheet Readability; Sharing Chords and Lyrics; Sing Along Play; Songbook Navigation; Dropbox PDF Backups; Mobile Song Access; Cloud Backups; Digital Songbooks; Twenty Song Songbook; Beginner Songbook; Gigs and Parties; Songbook Feature; Beginner Songbook App; Song Playlists; Memorable Repertoire; Practice Organization,Display folder with lyric/chord printouts in a physical repertoire book @ 00:00:12; Print lyric and chord sheets and collect in a repertoire book for practice @ 00:00:20; Portable PDFs of songs via cloud storage (Dropbox) for mobile access @ 00:01:38; Keep a lean set of songs (around 20) to stay fresh and avoid overwhelm @ 00:02:57; Printed sheets to share with other musicians for jams @ 00:01:04,3
1X2rW5ATdLQ.youtube,A Chord Tutorial: Open A Major with Alternative Fingering (JustinGuitar),"May 11, 2020",,"JustinGuitar's beginner lesson demonstrates an alternative fingering for the open A major chord. The tutorial shows placing the 2nd and 3rd fingers on the 2nd fret of the 4th and 2nd strings respectively, with the 1st finger tucked between them on the 2nd fret 3rd string, to produce a clean A chord with less pressure. It discusses muting issues, string-by-string checks (5th through thinner string), transitions to D and E chords, and common finger placement problems. The video also emphasizes quick, regular practice and introduces the 'Chord Perfect' approach for building chord confidence.",A Major Fingering; Open String Checks; A Fingering Option; Fret Proximity Placement; Chord Muting Problems; D and E Chords; A Chord Practice Program; Short Practice Sessions; Finger Alignment,Alternate A major fingering with 1st finger placed between 2nd and 3rd fingers on the 2nd fret @ 00:01:56,5
1Y2veGF9s44.youtube,"A Minor Chord (Am) Tutorial: Fingering, Tuning Considerations, and Practice","May 18, 2020",,"This JustinGuitar video teaches the A minor (Am) chord on guitar, starting from the A major fingering and showing how to transition to Am with a full finger change. It explains why Am can look like E major on a different set of strings, and why moving chord shapes down the neck is not a simple transposition due to guitar tuning—specifically, the B-string tuning pattern used in the 5th‑fret technique. The video pinpoints the key Am fingering (index on the 2nd string, middle and ring on the 4th and 3rd strings respectively) and notes that this same three-string layout is shared with A major. It also covers common alternative fingerings, cautions about muting issues (especially the open 5th string and the 2nd finger’s height), and closes with a practical practice method called “Chord Perfect Practice” that cycles through strumming and arpeggio picking to solidify correct fingering and future positions.",A Major Fingering; A Minor Fingering; A Minor Change; A Minor Shape Comparison; Am vs E Major; 5th Fret Tuning; B String Spacing; Tuning Affects Shapes; Am Fingering; Am Finger Pattern; Am to A Major; Am Fingering Variants; Am 5th String Muting; Finger Height Control; Am Finger Muting; Fingertip Curling; Strum Arpeggiate Strum,"A minor fingering (1st finger on the 2nd string; 2nd finger on the 4th string; 3rd finger on the 3rd string) @ 00:03:37.343; Full finger change from A major to A minor @ 00:00:15.185; Am shape looking like E major on different strings; importance of string alignment @ 00:00:53.363; 5th fret tuning technique and B-string adjustment @ 00:01:29.545; Little finger demonstration showing Am vs A major relationship @ 00:02:40.754; Chord Perfect Practice: strum, pick out notes, then strum again @ 00:05:24.945; Muting diagnostics for Am: open 5th string, finger height, and tip placement @ 00:04:02.491",3
36cR8twdq7Q.youtube,"Relaxed, continuous strumming: practical guidance for developing feel","May 27, 2020",,"JustinGuitar's video outlines a focused approach to improving strumming by emphasizing relaxation and continuous motion. The core idea is that keeping the hand moving makes many patterns feel natural, provided the player remains relaxed in the shoulders and mindset. The lesson blends practical drills with mood strategies: practicing with a metronome on a simple pattern (demonstrated on the C chord with a Down-Down-Up-Up-Down rhythm), resisting over-counting in favor of a smooth feel, and using a small repertoire of well-mastered patterns rather than chasing many patterns. A notable cue is smiling to reduce tension, framing playing as a feeling-driven act where the audience senses the relaxed performance. The guidance culminates in the beginner-friendly principle that relaxation and consistent motion are foundational to good strumming.",Continuous Strumming; Arm Shoulder Relaxation; Rhythm Metronome Practice; C Major Strumming; DDUUD Strumming; Feel Versus Counting; Posture Awareness; Smile to Relax; Feel Building; Feel Over Counting; Strumming Pattern Focus; Feel Over Chords,Keep hand moving to enable flexible strumming (continuous motion) @ 00:00:12.390; Metronome-based practice with a simple pattern to build relaxation @ 00:01:25.531; Down-Down-Up-Up-Down pattern demonstration on C @ 00:01:39.999; Smile to relax and reduce tension during challenging patterns @ 00:02:52.053; Chords don’t matter for feel (focus on relaxation and feel) @ 00:04:35.891; Focus on 3-4 patterns and perfect them for reliable playing @ 00:05:09.595; Music is a feeling experience; relax to convey emotion @ 00:05:31.524,4
6LmQCdt_ZhQ.youtube,The Most Common Strumming Pattern of All Time! Guitar for Beginners,"May 18, 2020",,"JustinGuitar’s beginner tutorial presents a foundational guitar rhythm: missing beat three within a down-strum pattern and the widely used alternate pattern “down, down-up, miss-up, down” aligned to a 1-2-and-3-and-4 count. He first guides a simple miss on beat three to train continuous right-hand motion, then demonstrates the full four-beat pattern (One, Two-and-Three-and-Four) at a slow tempo, emphasizing consistent pendulum-like wrist/arm movement and relaxed strumming. The lesson then stays practical: practicing with muted strings, using a metronome (80–100 BPM), and gradually applying the pattern to songs. He also covers equipment choices (prefer a very light pick for beginners), grip relaxation, and the mental approach to rhythm (counting aloud, staying relaxed to maintain groove) as a pathway from pattern drills to real playing.",Miss Beat Three; And Counting; Pattern Down-Up Miss-Up Down; Muted Pattern Practice; Continuous Hand Motion; And Four Strumming; Strumming Metronome; Slow Practice Pace; Relaxed Right Arm; Beginner Pick Choice; Relaxed Grip; Pattern to Song Practice,"Miss beat three while maintaining continuous strumming @ 00:00:32.676; Down, down-up, miss-up, down pattern (One, Two-and-three-and-Four) @ 00:04:46.059; Muting strings for rhythm practice with metronome guidance @ 00:05:23.460; Relaxed picking: use of a paper-thin pick and relaxed grip @ 00:06:19.038",4
72MEHvT9JV4.youtube,Strumming the Right Strings for D and A Chords (Beginner Tips),"May 11, 2020",,"In this beginner-focused micro-lesson, the instructor explains how to strum only the appropriate strings for common open chords, emphasizing that new players should aim to avoid the thickest strings on D and A chords while recognizing that early-stage mistakes are normal. For D, the recommended focus is on the thinnest four strings; accidentally striking the 5th string is discussed as acceptable, and hitting the thickest string is discouraged but not catastrophic during practice. For A, the thickest string is generally not played, though its E note is part of the chord, and the two exterior strings both produce E. The video stresses practical practice priorities—clean chord changes and a steady beat on the first count—over perfect string accuracy during early stages, and it frames the guidance as ideal considerations to bear in mind while pursuing Chord Perfect exercises and other beginners’ practice routines.",D String Targeting; Four String Targeting; D Chord Fifth String; D String Warning; Acceptable Miss Hits; A Chord String Choice; A Chord E Note; E Note Outer Strings; Thinnest String Coverage; D Chord String Choice; Change and Beat One; Chord Perfect Exercises; Song String Priorities,"D chord right-string strum: avoid the thickest two strings; target the thinnest four @ 00:00:04.957; Acceptable to hit the 5th string on D chord; it can sound fine or desirable @ 00:00:26.142; Hitting the thickest D string is discouraged in early practice, but not catastrophic @ 00:00:41.674; A chord: avoid the thickest string; E notes are part of the chord @ 00:01:15.801; Chord practice priorities: chord changes and strumming on beat 1 @ 00:01:42.766; Chord Perfect exercises as practice context @ 00:01:56.859",4
