video,title,date,location,summary,topics,featured_techniques,section_count
1TZ47h_UUSc.youtube,Grounding a Two-Prong Outlet in an Unfinished Basement: GFCI Option and AFCI Laundry-Circuit Upgrade,"April 12, 2020",unfinished basement,"The video identifies an ungrounded two-prong outlet and explains how grounding works, then presents two remediation paths: installing a GFCI receptacle to provide protection without pulling a new ground, or running a dedicated equipment-grounding conductor (EGC) by replacing wiring. The team opts for upgrading the laundry circuit with 12‑gauge wire, a conduit-fed metal box on a concrete wall, and an AFCI protected breaker, followed by testing with a receptacle tester to verify ground status and correct polarity. The segment emphasizes safety, code considerations (12 AWG for laundry, AFCI protection), and verification steps before re-energizing the circuit.",Ungrounded Receptacle; Ungrounded Outlets; Bare Copper Ground Wire; Grounding Basics; GFCI Receptacle; AFCI Breaker; 12 AWG Laundry Circuit; Conduit Bending Tool; Concrete Box Mounting; Receptacle Tester Checks; Open Ground Troubleshooting; Hot Neutral Reversal; main breaker safety shutoff; Ground Bar Connections; Tester Indicator Checks,Install GFCI receptacle to address an ungrounded outlet @ 00:01:55; Run new equipment grounding conductor (EGC) with 12 AWG for a proper ground @ 00:02:41; Install AFCI breaker for laundry circuit protection @ 00:05:02; Mount metal electrical box to concrete wall @ 00:03:39; Bend conduit to fit box using conduit bending tool @ 00:04:13; Test receptacle grounding and polarity with a tester @ 00:05:42; Power-off verification using main breaker before service work @ 00:04:55,4
2I8BMtTbzJ8.youtube,Electrical Safety Upgrade and Ceiling Light Replacement in a 1960s Home,"January 27, 2020",Attic,"This This Old House segment guides a homeowner through safely replacing an aged ceiling fixture in a house built in 1960. The hosts inspect the new LED fixture for pre-1985 wiring compatibility, demonstrate turning off power at the panel, and address the risks of using outdated cloth NM cable with low temperature ratings. To accommodate modern fixtures, they splice in new wiring and install a new metal junction box in the ceiling, routing conductors through an attic/crawl-space path, bonding the ground, and reassembling the fixture with LED bulbs. The episode emphasizes heat management near junction boxes, explains the 60°C versus 90°C insulation jacket ratings, and demonstrates how to identify cable types (NM, NM-B) and what labeling signifies for safe installation.",Ceiling Light Replacement; Old House Warnings; Panel Power Shutoff; Cloth NM Cable; Insulation Jacket Ratings; NM Cable Comparison; 1980s Code Changes; Wire Splicing Extension; Ceiling Junction Box; Attic Crawlspace Wiring; Metal Box Grounding; Ground Screw Bonding; LEDs in Old Fixtures; Cable Jacket Labeling; Junction Box Safety; Fixture Power Testing; Wire Feeding Connectors; Fixture Heat Concerns,"Extending wiring and installing a new ceiling junction box to support a modern fixture @ 00:02:31; Grounding strategy with an additional ground screw on a metal fixture mounting (habitual practice for reliability) @ 00:04:39; Routing wiring through attic/crawl spaces to reach a new junction box @ 00:02:46; Cable identification and code-history explanation: distinguishing NM, NM-B, and jacket ratings (60°C vs 90°C) @ 00:07:01; Power restoration and functional testing of a replaced light fixture @ 00:06:00",4
4TaLVRW2N_U.youtube,Post Light Replacement with LED Diode Fixture and Astronomical Timer,"January 24, 2016",,"This Old House guides a full exterior lighting upgrade centered on replacing a rotted lamp-post, upgrading the switch and wiring, and installing a modern, LED-based lighting ensemble. The video demonstrates removing the old post, pouring a quick-set post foundation, installing a new aluminum post with an LED diode fixture, routing wiring, replacing the wall switch with a weatherproof box and an astronomical time clock, and matching a wall sconce to the new post light for a cohesive exterior look. The sequence emphasizes safety (power shutoff), weatherproofing, and choosing long-lasting, low-maintenance lighting components.",Outdoor Lighting; Post Light Replacement; LED Diode Fixture; LED Diffuser; Weatherproof Electrical Box; Weatherproof Cover; Astronomical Time Clock; Dry-Pack Post Setting; Post Wire Routing; Exterior Fixture Matching; 3-Inch Post Standard; 7-Foot Post Installation; Breaker Shutoff Safety; Switch Replacement,"LED diode post light with diffuser @ 00:02:13; Dry-pack concrete post installation (pour dry, add water to activate) @ 00:02:40; Weatherproof electrical box and weatherproof cover installation @ 00:04:12; Astronomical time clock for dusk-to-dawn outdoor lighting @ 00:04:42; Matching exterior fixtures (post light, ceiling light, wall scon) with LED diode @ 00:05:13",7
7WOFUfavBVs.youtube,Two-Tool Electrical Projects: Lineman Pliers and a Flat-Head Screwdriver,"May 22, 2016",,"This Old House’s Ask This Old House video foregrounds a minimalist approach to basic electrical tasks, arguing that two tools—the lineman pliers and a flat-head screwdriver—are sufficient for many common jobs. The segment demonstrates wire work (cutting, stripping, and twisting/splicing), accessing electrical boxes by removing covers, and removing knockouts. It also shows using a lock-nut push tool to remove knockouts and to drive staples, with a brief note on clearing obstructions (using a chisel when needed). The tone is practical and conversational, emphasizing tool economy and flexibility over a large tool kit.",Voltage Tester Overview; Lineman Pliers; Flat Head Screwdriver; Wire Cutter; Needle-Nose Pliers; Diagonal Cutters; Wire Splicing Basics; Insulation Stripping; Wire Twisting; Electrical Box Covers; Electrical Knockouts; Lock Nut Push Tool; Staple Driving; Obstruction Removal; Minimal Tool Approach,Minimal two-tool electrical toolkit (lineman pliers + flat-head screwdriver) @ 00:00:26; Lock-nut push tool used for knockout removal and staple driving @ 01:34; Using the same tool to drive a staple after knockout removal @ 01:59,4
9756YcjRCss.youtube,"Install an Electrical Receptacle in a Kitchen Island: Box Location, Wiring, and AFCI/GFCI Testing","July 17, 2022",Kitchen island cabinet back panel (explicit),"This Old House chronicles a kitchen-island upgrade to add a dedicated receptacle where none existed. Heath and Katie locate a feed that presumably serves the island, verify that power can be safely de-energized (using a non-contact tester and a meter), and then trace the wire with a toner to confirm its path toward a wall outlet location. They mark and cut a precise opening in the island’s cabinet/back panel, then install a new junction box and route BX/metal-clad cable through a protected bushing with a 90° connector. After wiring the receptacle (ground to green, neutral to silver, hot to brass) and securing the box, they install an AFCI-protected circuit (and test a GFCI function) to ensure protection for the new outlet. The finished test confirms the mixer and other devices work, and the homeowners can use the island for baking with confidence. Throughout, the video emphasizes safety steps (de-energize, confirm with a meter, proper notch and spacing, and appropriate connections) and documentation of the process from locating the feed to testing the finished circuit.",Kitchen Island Receptacle; Island Receptacle Box; Voltage Tester; Multimeter Verification; Tone Probe Tracing; BX Cable Prep; Insulating Bushings; 90-Degree Cable Connectors; Oscillating Tool Cutouts; Tape Alignment Marking; Plumb Line Cutout; Outlet Box Notching; Ground Neutral Hot Wiring; Receptacle Grounding; AFCI Protection Testing; GFCI Reset Testing; Breaker Power Cycle; Kitchen Mixer Testing,"Tone tracer (transmitter/receiver) to locate a hidden feed @ 01:57:00; Safety verification: non-contact tester and meter before work @ 01:31:00; Marking cutout with painter's tape and plumb line for centering @ 04:16:00; Notching and cutting the cabinet opening with a multi-tool @ 06:14:00; Insulating bushing and 90° connector for BX cable protection @ 07:28:00; Wiring the receptacle: ground, neutral, hot in proper terminals @ 09:24:00; Installing AFCI protection and testing GFCI function @ 10:21:00",8
AWG-gQh1WFQ.youtube,"Powering a Backyard Shed: trenching, conduit, and panel installation (Ask This Old House)","April 26, 2026",,"In this This Old House episode, Heath and Jeff plan, trench, and wire a new electrical feed from the house to a newly built shed. The team assesses the site, routes a trench between the shed and the house, installs outdoor conduit with LB and expansion fittings, and places a ground system. They set up a panel, pull feeders, and wire the shed to meet minimum code requirements (at least one receptacle and one light), then perform a power-on test to verify the install. The process emphasizes safe coordination (Dig Safe), trench backfill with a sand bed, protection of the conduit, proper conduit orientation to reduce water intrusion, and a reminder that live work should be performed by a licensed electrician when disconnecting service.",Shed Power Planning; Outdoor Power Panel; Trench Depth Planning; Top-of-Pipe Clearance; Conduit Sand Bed; LB Fitting; Conduit Expansion Fitting; Bell-End Down Conduit; Ground Rod Installation; Ground Rod Spacing; Dig Safe Coordination; Conduit Layout Marking; Fish Tape Pulling; Oversized Conduit Planning; Panel Knockout Entry; Licensed Electrician Requirement; Shed Wiring Minimums; Power-On Testing,"Outdoor conduit installation with LB and expansion fittings @ 00:04:23; Trench planning with frost/heave considerations and correct conduit orientation @ 00:06:38; Sand bed under conduit to protect against rocks and movement @ 00:07:01; Grounding rod installation and measurement strategy @ 00:08:47; Caution tape marking with metallic traceable tape and toner @ 00:09:29; Pulling feeder wires using fish tape through an oversized conduit @ 00:11:56; Shed wiring plan to meet minimum code: 1 receptacle, 1 light @ 00:13:14",9
BbuvFQWNFZ4.youtube,Upgrading a 3-Way Switch to a Smart 3-Way System (This Old House),"January 3, 2026",Top of stairs (stairway light),"This how-to video from This Old House teaches upgrading a traditional three-way lighting circuit to a smart three-way arrangement. It distinguishes single-pole versus three-way configurations, identifies the common vs travelers on a three-way switch, and walks through power-down safety, removal of existing switches, and wiring a smart master switch. The tutorial covers two approaches for the downstream box: using a remote add-on (or keeping the mechanical switch for guest use), wiring the master with ground and properly paired travelers, creating a feed/pigtail, and securely tucking conductors. It also demonstrates linking the master and add-on, and confirms two-location control by testing from both switch locations.",Switch Type Identification; Three-Way Common Travelers; Breaker Shutoff; Switch Removal; Feed Wire Pigtails; Smart Three-Way Wiring; Smart 3-Way Wiring; Common Feed Splicing; Remote Add-On Switch; Smart Pairing Setup; Three-Wire Nut Tie; Wire Slack Management; 3-Way Light Testing; Smart 3 Way Planning,"Wiring a smart 3-way master switch in a three-way circuit (ground, travelers, and common) @ 00:02:42; Pairing a remote/add-on with the master 3-way switch by a 6-second button press on both ends @ 00:04:32; Reconfiguring the bottom 3-way to use a remote or to retain mechanical operation, including tying wires under a wire nut and creating a pigtail @ 00:04:50; Testing two-location control after installation @ 00:06:42",7
C8I2PqhMx_U.youtube,"How to Install an Electric Lantern | Copper Lantern Fabrication, Finishing, and Exterior Installation (New Orleans)","September 28, 2025","New Orleans, Louisiana, USA","This Old House follows a New Orleans artisan and the project homeowner as they craft and install a New Orleans–style electric lantern. The episode covers: (1) the Bourbon Street lantern design tradition and what makes it distinctly New Orleans; (2) copper fabrication from raw copper sheets using a foot shear, a notcher, and hand snips to form decorative tops and panels; (3) riveted assembly as a durable alternative to solder in heat-prone lanterns; (4) an oxidation/aging process to achieve a 10–15 year patina finish; (5) final assembly including glass hurricane globe and electrical components; and (6) on-site exterior installation on a traditional New Orleans shotgun house, including upgrading to a proper junction box behind siding with weatherproof detailing and wiring that uses a licensed electrician. The video emphasizes craft technique, weatherproofing, and color choices (2700 K) to echo the historic gas-lit look.",New Orleans Lantern; Handcrafted Lanterns; Copper Lantern Stock; Copper Stock Cutting; Bend Notcher; Decorative Copper Snips; Riveted Lantern Fabrication; Pot Ash Finish; Steel Wool Finish; Copper Lantern Finishing; Lantern Assembly; Lantern Fuel Options; Exterior Lantern Installation; Outdoor Junction Box; Silicone Waterproofing; Grounding and Bonding; Wire Jacket Identification; 2700K Soft White Bulb; Electrician Collaboration,"Copper sheet fabrication (slitting, notching, forming) @ 00:01:46; 90-degree bends created with notches @ 00:02:15; Hand-cut decorative tops using templates @ 00:02:27; Riveted joints for heat-resilient assemblies @ 00:03:04; Oxidation aging with pot ash and steel wool @ 00:03:18; Vinyl-block exterior junction box installation @ 00:06:31; Dry-sealing and waterproofing with silicone @ 00:07:02; Color and temperature selection to mimic gas flame @ 00:10:08",7
D3huY435L28.youtube,"Outdoor EV Charger Installation: Mounting, Conduit Routing, and Wiring (This Old House)","May 6, 2025",Exterior wall on far side of driveway (outdoor EV charger installation),"This This Old House segment documents a residential outdoor Level 2 EV charger installation at a house with no garage, positioned on the exterior wall at the far side of the driveway. The crew explains driving levels of charging (Level 1 through Level 3) and selects Level 2 for overnight charging, noting 8 hours can restore ~150–200 miles. They trench and trench-fill a conduit from under the driveway up to the house, pull wires through, install end fittings, glue and seat the conduit, and then make the three power connections inside the charger. The installation is described as weatherproof, outdoor-rated, and approved after consulting a local electrical inspector to ensure compliance with local and national codes. The video emphasizes practical placement to minimize cord length, outdoor equipment suitability, and considerations for future EV readiness.",Outdoor EV Charger; EV Charging Levels; Outdoor Rated Hardware; Exterior Bracket Mounting; Driveway Charger Placement; Driveway Conduit Routing; Conduit Installation; Conduit Wire Pulling; Conduit End Fittings; Three-Conductor Wiring; Code Inspection Approval; EV Charger Cord Management; EV Readiness Planning; EV Charging Planning,Outdoor EV charger mounting on an exterior wall with weatherproof bracket @ 00:00:03; Conduit routing from driveway to house and protective fittings @ 00:01:17; Three-conductor electrical connections within the charger and sealing @ 00:02:43,5
E4QtyaTCMR0.youtube,Task Lighting Upgrade in a Small Kitchen: Recessed Downlights and Under-Cabinet Fluorescents,"December 12, 2015",,"This Old House demonstrates a kitchen lighting retrofit aimed at improving task illumination in a small space. The hosts replace two dim, nearby ceiling fixtures with two recessed LED/fluorescent-ready downlights (referred to as R40 blimps) to bring light down to the counter, and add complementary under-cabinet and above-cabinet fluorescent lighting (Thin Line) to brighten work surfaces and shelves. The project covers planning around existing sprinklers and ceiling obstructions, routing power from a single switch, creating ceiling penetrations, mounting fixtures with clips, hiding cords through cabinet fronts and crown molding, and testing the system for a brighter, more usable kitchen workspace.",Kitchen Lighting Upgrade; Separate Fixture Switching; Task Lighting Goals; Recessed Downlighting; R40 Blimps; Multiple Fixture Control; Over Cabinet Lighting; Fluorescent Task Lighting; Thin Line Fixtures; Remodel Recessed Lighting; Hole Templates Cutting; Recessed Can Clips; Cabinet Cable Routing; Crown Molding Cable Route; Cord Concealment; Concealed Cabinet Wiring; Kitchen Lighting Obstacles; safety turn power before work; Lighting Final Test,"Install recessed lighting cans (remodel style) and secure with pressure clips @ 02:12:00-03:16:00; Tie multiple recessed lights to a single switch by routing a shared conductor @ 02:40:00-03:16:00; Plan and install under-cabinet and over-cabinet fluorescent fixtures (Thin Line) for task lighting @ 05:23:00-06:47:00; Hide cabinet wiring using a knee notch cut in the cabinet front to conceal cords @ 06:11:00-06:20:00; Route power through crown molding to access top-of-cabinet wiring @ 04:19:00-04:32:00; Navigate existing ceiling obstructions (sprinkler pipe, drop ceiling, metal stud) when placing new lighting @ 01:39:00-01:53:00",5
