video,title,date,location,summary,topics,featured_techniques,section_count
-Aoz9C5lFvk.youtube,"Three Vegan Grilled Cheese Builds: 5 Minutes, 50 Minutes, and 5 Hours","October 9, 2020",,"Goodful’s video presents a side‑by‑side exploration of vegan grilled cheese at three different time commitments. Host Merle guides viewers through a rapid 5‑minute tofu‑based cheese, a 50‑minute cashew‑based cheese with agar agar and tapioca for melt, and a full 5‑hour production that includes homemade bread, roasted-tomato soup, and two vegan cheeses (smoked gouda and cheddar). The episode emphasizes sustainability (cloth-wrapped tofu pressing), plant-based flavor boosters (nutritional yeast, miso, lemon juice, herbs), and meltability achieved with vegan thickeners (agar agar, tapioca starch, kappa carrageenan). It also features practical kitchen techniques (toasting bread, using a Dutch oven, immersion blender for soup) and a simple side salad to accompany the final sandwich. The video blends quick execution with a from-scratch offer, ending with tasting notes and encouragement to try the homemade approach.",Vegan Grilled Cheese; Tofu Pressing Method; Yeast Cheese Base; apple cider vinegar vegan cheese; Coconut Oil Cheese Base; Vegan Cheese Melt; Carrot Cashew Cheese; Agar Gelling Agent; Tapioca Thickener; Kappa Carrageenan Binder; Smoked Gouda Cheese; Cheddar Vegan Cheese; Arborio Rice Thickening; Roasted Tomato Soup; Sourdough Dough; Bread Dough Proofing; Dutch Oven Baking; Immersion Blender Soup; Avocado Dressing; Composting Reminders,"Tofu pressing under weight for moisture removal @ 00:00:40; Creamy vegan cheese base from tofu with nutritional yeast and vinegar @ 00:01:00; Agar agar setting for vegan cheese texture @ 00:03:02; Tapioca starch thickener in vegan cheese @ 00:03:50; Kappa carrageenan binder for cheese texture @ 00:07:25; Arborio rice thickening trick for creamy tomato soup @ 00:10:07; Immersion blender to smooth soup @ 00:10:44; From-scratch bread dough with yeast and dual-proofing @ 00:05:25; Roasted tomato soup with tomato, shallot, garlic, thyme @ 00:06:21; Dutch oven preheating and baking bread at 450°F @ 00:09:41; Composting kitchen scraps during prep @ 00:03:41",3
-fjllt3YWc4.youtube,"Make It Vegan Marathon: LA Vegan Cookies, Burgers, Mac and Cheese, and Sushi","December 22, 2021","Los Angeles, CA, USA","In this Goodful Make It Vegan Marathon episode, host Merle enlists her friend Arya to hunt for the best vegan chocolate chip cookies in the LA area, then returns to the kitchen to recreate and veganize a chocolate chip cookie together. The show expands into a broader plant-based tasting and cooking spree, including a burger segment (featuring a Monty's-style vegan burger and a homemade vegan patty using tofu, mushrooms, beets, and vital wheat gluten), a cashew-based mac and cheese, and a vegan sushi project that mimics tuna and eel using tomatoes and eggplant. Interludes include live trivia and taste tests with quick verdicts (e.g., the Merlio cookie is ranked a perfect 10 by Merle, while Erin McKenna’s cookie scores around 7.75). Across segments, the episode showcases practical vegan substitutions (coconut oil instead of butter, fruit purees and arrowroot instead of eggs, non-dairy milks, vegan cheese substitutes) and a playful emphasis on approachable, DIY vegan meals that aim to satisfy non-vegan appetites and encourage experimentation at home.",Vegan Chocolate Chip Cookies; Coconut Oil Cookies; Egg Substitutes Baking; Garbanzo Flour; Creamy Milk Swap; Sugar Melting Batter; Cookie Dry Ingredients; Chocolate Chips Selection; Chilling Dough; Chewy Cookie Bake; Vegan Cookie Comparison; Homemade Cookie Benchmark; Vegan Burger Build; Beet Blood Effect; Mushroom Walnut Burger; Cashew Mac Sauce; Vegan Sushi Construction; Tomato Tuna Technique,"Vegan chocolate chip cookie formulation using coconut oil, fruit puree as egg substitute, arrowroot, and garbanzo bean flour @ 00:03:40; Smoke-free “brown butter” flavor achieved with toasted coconut oil and nut infusion @ 00:06:56; Microwave-assisted melting to create a smoother cookie batter (melting sugars for texture) @ 00:08:34; Beet-based blood color and tomato-based ‘tuna’ synthesis for vegan sushi @ 00:46:50; Vital wheat gluten-based vegan burger texture; steaming to set patty texture @ 01:25:00; Cashew milk and cashew-based cheese sauce (nutritional yeast, garlic, turmeric, etc.) for vegan mac and cheese @ 01:35:00; Tomato-based ‘tuna’ marinade with soy sauce, rice vinegar, neutral oil, sugar, and nori @ 01:47:50; Eggplant ‘eel’ preparation by peeling, slicing, and marinating with glaze @ 01:49:00",9
-khL2diGI14.youtube,"Vegan Drumsticks from Yuba (Tofu Skin) — Rehydration, Wrapping, and Air Fryer Finish","July 3, 2021",,"In this Goodful video, Merle attempts to craft vegan drumsticks using yuba (tofu skin). The process covers slicing frozen yuba, rehydrating it in water, wringing out excess moisture, and seasoning with a bouillon-based mix plus five-spice. Strips are wrapped around a core with a cornstarch slurry to resemble drumsticks, chilled briefly, and then glazed and finished in an air fryer at 325°F (160°C). The result is four formed pieces with a notable skin-like texture and color, which Merle rates highly and suggests as a crowd-pleasing vegan option. The video also references fellow creator Woon Hang for recipe inspiration.",Yuba Rehydration; Yuba Sheet Slicing; Rehydration Ratio; Yuba Moisture Release; Bouillon Seasoning; Pepper Seasoning; Salt Seasoning Overview; Sugar Overview; Chinese Five Spice; Cornstarch Thickener; Slurry Technique; Yuba Drumstick Wrapping; Lemongrass Substitute; Yuba Glaze; Plastic Wrap Chilling; Air Fryer Finish; Texture Evaluation Focus; Yuba Drumstick Prep; Woon Hang Reference,Yuba rehydration and moisture wring-out @ 00:01:50; Cornstarch slurry as binding agent @ 00:02:36; Drumstick-shaped wrapping around core @ 00:03:01; Air fryer cooking at 325°F / 160°C @ 00:04:34; Lemongrass use as sugar cane substitute @ 00:02:50,7
0vgF96O1gug.youtube,2-Minute vs 2-Day Vegan Chocolate Chip Cookies,"May 22, 2021",,"In this Goodful video, Merle presents two vegan chocolate chip cookie approaches side by side: a fast 2-minute version baked in the microwave and a 2-day, flavor-deepened version that builds toffee, crushed chocolate, and an oats-brown-butter dough, chilled for 48 hours before baking. The quick method relies on refined coconut oil, light brown sugar, vanilla, and applesauce to form a dough that comes together with flour and chips before microwaving on a prepared plate. The 2-day method introduces a separate toffee element (vegan butter, brown sugar, salt, cooked to 290°F/143°C), oats hydrated with boiling water, browned Miyoko’s butter emulsified with ice and water, and a sugar-bath dough enriched with espresso powder, vanilla, and flour. The dough is folded with crushed toffee and chocolate, chilled for 48 hours, portioned into balls, baked at 325°F (160°C) for 18–20 minutes, and finished with a cohesive balance of sweetness, salt, toffee crunch, and chocolate. The video highlights ingredient choices, texture and flavor development, and timing strategies—showing that patience yields a noticeably richer vegan cookie.",Coconut Oil Refinement; Vanilla Extract; Brown Sugar; Applesauce Binder; All-Purpose Flour; Chocolate Chips; Microwave Cookie Technique; Oiled Plate Prep; Giant Cookie Concept; Toffee Ingredients; vegan butter brand; Toffee Cooking Temperature; Water Emulsified Toffee; Toffee Freezing; Rolled Oats Hydration; Nutty Brown Butter; Ice Cube Emulsification; Espresso Powder Dough; Salt Soda Dough; Dough Refrigeration; Cookie Scooping; Cookie Bake Temp; Bake for 18 Minutes; Parchment Reuse; Toffee Crushing,"Microwave-baked vegan cookie on a prepared plate with coconut oil @ 00:02:05; Toffee made from vegan butter, brown sugar, and salt, cooked to 290°F (143°C) @ 00:03:50; Emulsifying fat with water after browning (toffee step) @ 00:03:50; Hydrating rolled oats with boiling water before dough @ 00:04:12; Brown butter (Miyoko’s) with ice cubes to emulsify @ 00:04:22; Espresso powder addition to cookie dough @ 00:05:07; Refrigerating dough for 48 hours to develop flavor and prevent flattening @ 00:07:32; Crushing toffee in a bag with rolling pin to create crunch @ 00:06:16; Baking cookies at 325°F (160°C) for 18–20 minutes @ 00:08:12",3
0z3ubNsNBZE.youtube,Quick and Easy Vegan Dinners,"December 28, 2018",,"This Goodful YouTube video is titled Quick and Easy Vegan Dinners and is described in metadata as offering quick vegan dinner ideas. The provided transcript contains mostly music and applause with only a few isolated spoken items, and contains no explicit cooking steps or ingredient lists. The video was published on 2018-12-28. Based on the transcript alone, no instructional techniques or recipe procedures can be verified from this text.",Vegan Dinners; Quick Meals; Plant-Based Recipes; Dinner Ideas; Goodful Format Overview; YouTube Cooking Video; Audio Cue Timing,,4
1HWYIwi6Yok.youtube,Store-Bought vs Local Vegan Mac 'N' Cheese: Three-Way Tasting and a Homemade Sauce,"January 18, 2019",,"This Goodful video presents a friendly comparison of three vegan mac and cheese options: two store-bought boxed products and a homemade version made with mostly locally sourced ingredients. Host Merle announces a store-bought versus locally sourced vegan mac and cheese challenge, then demonstrates how to prepare a homemade sauce by boiling carrot, potato, and onion, saving some cooking water, and blending the vegetables into a creamy sauce. Throughout the tasting, the host shares personality-driven commentary and environmental rationale for choosing plant-based meals, noting that vegan choices can reduce greenhouse gas emissions and food waste. The segment culminates in a taste test where the local-market mac is highlighted for its ingredients and flavor, while remarks acknowledge that plant-based does not always equal traditional cheese in texture. The video blends practical cooking steps with environmental messaging and light humor to encourage viewers to incorporate vegan meals into their routines.",Vegan Mac and Cheese; Vegan Mac Comparison; Vegan Mac Sauce; Local Ingredients; Vegan Environmental Impact; Meat Emissions; Ugly Produce Waste Reduction; Vegetable Prep; Veggie Cooking Water; Veggie Sauce Blending; Vegan Mac Tasting; Kitchen Branding References,Blend boiled vegetables with reserved cooking water to create a creamy vegan sauce @ 00:02:07; Use ugly produce to reduce waste and reveal bright interior vegetables with minimal prep @ 00:01:31; Three-way vegan mac comparison and sensory evaluation (tasting notes and verdict) @ 00:03:50; Local market ingredients highlighted as the winning option for flavor and transparency @ 00:02:34,4
1c8HrguZmlo.youtube,"Vegan Pantry Essentials: Staples, Substitutes, and Quick Prep Techniques","July 9, 2020",,"Goodful host Rachel walks through a vegan pantry, listing staples across dried goods, canned goods, nuts and seeds, oils and condiments, spices, baking flours, soy protein substitutes, and produce. She offers practical notes and uses for each category, such as soaking dried chickpeas for hummus and falafel, lentils as a protein source, oat milk from oats, jackfruit as a canned meat substitute, and coconut milk for cooking or dairy-free creams. The tour also covers flavor builders (soy sauce, vegan mayo, vinegars, sauces), nut-based cheese options (cashews, tahini, nutritional yeast), and egg-replacement techniques (flax eggs, black salt with turmeric for tofu scramble). The video emphasizes waste reduction and bulk buying, plus storage tips like freezing produce to extend shelf life.",Dried Chickpeas; Dried Lentils; Brown Rice; Pasta Varieties; Oat Pantry Staples; Oat Milk Basics Overview; Quinoa Staples; Millet Staples; Canned Jackfruit; Canned Coconut Milk; Canned Diced Tomatoes; Canned Beans; Aquafaba Binder; Nut Butters; Hemp Seeds; Chia Seeds; Tahini Overview; Coconut Oil; Soy Sauce; Nutritional Yeast; Black Salt; Vital Wheat Gluten; Chickpea Flour; Tapioca Flour; Flax Meal; Applesauce Binder Overview; Organic Sugar; Tofu Basics; Tempeh Basics; Fresh and Frozen Produce,Homemade oat milk @ 00:01:12; Cashew cheese sauce (creamy cashew cheese) @ 00:03:30; Vegan parmesan from cashews and nutritional yeast @ 00:06:50; Tofu scramble with black salt and turmeric @ 00:07:10; Seitan via vital wheat gluten @ 00:07:52; Flax egg binder for baking @ 00:08:36; Chickpea flour omelet @ 00:08:00; Aquafaba (aqua fava) for vegan desserts @ 00:02:49,9
28BSnGNT2m8.youtube,Five-Dollar vs $35 Vegan Pizza: Budget Showdown,"April 3, 2021",,"In this Goodful video, hosts Merle and Rachel (with Jasmine as a tasting guest) compare two vegan pizzas made at opposite price points. The $5 pizza emphasizes simple, budget-friendly dough, tofu-based pepperoni, and a potato-based vegan cheese, baked quickly at high heat. The $35 pizza uses a richer, coconut-oil crust with cornmeal, a tomato sauce built from San Marzano tomatoes, premium fillings like Beyond Meat sausage, kale, peppers, and multiple cheeses including Miyoko's cashew cheese and vegan parmesan, baked more slowly for a fuller bake. The episode juxtaposes value and flavor, culminating in a taste test where Jasmine weighs taste against price and declares a preferred option.",Pizza Dough Basics; Proofing and Kneading; Budget Pepperoni; Tofu Pepperoni Seasoning; Pepperoni Molding; Pepperoni Sheet Baking; Pepperoni Bake Time; Potato Vegan Cheese; Stovetop Vegan Cheese; Pizza Dough Rolling; Pizza Sauce Base; Herb Color Drizzle; Garlic Olive Oil Drizzle; Deep-Dish Dough; Cold Apartment Rising; Deep Dish Sauce; Pizza Toppings; Mozzarella Layering; Pizza Topping Bake; Pizza Bake Time; Pizza Value Comparison; Value Assessment Verdict,"Tofu pepperoni preparation with a bold seasoning blend @ 00:02:11; Pepperoni discs formed from tofu using parchment and a cap mold @ 00:03:28; Potato-based vegan cheese using potatoes, potato water, nutritional yeast, and thickeners @ 00:04:33; Deep-dish crust composition with sugar, instant yeast, coconut oil, and cornmeal @ 00:07:32; Layering vegan cheeses (Miyoko's cashews and vegan parmesan) on a pizza @ 00:11:46; Basil drizzle and spinach as a budget-friendly topping hack @ 00:06:50; San Marzano tomato sauce preparation as a premium base @ 00:09:05",4
8DIncLEl6ec.youtube,"Mexican Grandma Tries Vegan Pozole — Tasting, Garnishes, and Substitutions","May 12, 2022",,"BuzzFeed Nifty’s short feature follows Yolanda (the grandmother) and Desiree as they discuss and taste a vegan pozole. The segment frames posole as traditional Mexican-American comfort food, detailing typical ingredients, garnishes, and serving styles, then probes how a plant-based version compares in flavor and texture. The conversation touches on pork or chicken bases, garnishes (cabbage, onions, radishes, lime, tostadas), and spice choices (sauces like Tabasco), while also noting that vegan substitutions (tofu or tempeh) can be indistinguishable to conventional palates. Viewers observe tasting notes about broth thickness, meat-replacement texture, and overall acceptance, with recommendations for serving and possible adjustments (more meat or fixings on the side) for different preferences.",Vegan Pozole; Red Pozole; Vegan Pozole Overview; Pozole Base; Tofu Tempeh Substitutes; Pozole Garnishes; Tostada Serving; Pozole Lime; Pozole Oregano; Broken Chili; Broth Consistency; Tabasco Heat; Taste Comparisons; Side Garnish Serving; Mexican-American Cooking,Vegan substitution in a traditional pozole @ 00:02:12.000; Assessment of broth texture and meat-substitute texture during tasting @ 00:01:19.119; Incorporating garnishes as integral components of the dish @ 00:00:44.559; Spice and hot-sauce pairing with traditional Mexican flavors @ 00:01:03.600,6
8FwO38YD4yE.youtube,"Chickpeas Across the Day: Breakfast Hash, Buffalo Chickpea Sandwich, One-Pot Curry, and Aquafaba Chocolate Mousse","June 27, 2020",,"In this Goodful video hosted by Merle, chickpeas are showcased as a versatile, plant-based protein across four meals. The breakfast segment builds a colorful roasted vegetable hash with sweet potatoes, mushrooms, onions, and peppers, finished with a sriracha-tahini dressing. Lunch features a buffalo chickpea sandwich paired with a vegan ranch dressing and fresh veggies. Dinner centers on a homey, one-pot vegan curry built from aromatics, garam masala, turmeric, tomatoes, and chickpeas, simmered into a thick stew. For dessert, the aquafaba (chickpea water) is whipped into stiff peaks and folded with melted chocolate, sugar, and vanilla to create a mousse. The host emphasizes color for nutrition, offers customizable options (e.g., substituting tofu, serving with rice or naan), and provides precise timing and temperatures for roasting and simmering throughout the recipes.",Chickpea Nutrition; Aquafaba Dessert Ingredient; Breakfast Hash; High Heat Roasting; Chickpea Seasoning Blend; Sriracha Tahini; Vegan Ranch Dressing; Buffalo Chickpea Sandwich; Vegan Buffalo Sauce; One Pot Vegan Curry; Chickpea Tomato Stew; Lemon Cilantro Finish; Rice or Naan Serving; Aquafaba Mousse Technique; Chocolate Mousse Chilling,"Roasting vegetables at high heat to develop color and texture (425F, then 475-500F) @ 00:01:10; Sriracha-tahini dressing for bowls @ 00:03:11; Buffalo chickpea mixture with vegan ranch dressing @ 00:04:19; One-pot vegan curry with aromatics and simmering @ 00:06:12; Aquafaba mousse: whipping to stiff peaks and folding with chocolate @ 00:08:21",4
