video,title,date,location,summary,topics,featured_techniques,section_count
0G1tQKNlC2I.youtube,Hardwired LED Ceiling Light: Wiring a New Fixture with a Wall Switch,"April 8, 2018",,"This Old House's Ask This Old House episode demonstrates upgrading a ceiling lighting situation by replacing a cord-hung fixture with a hardwired LED fixture controlled from a wall switch. The crew identifies hazards of the old setup, plans a new ceiling box and a switch location, routes power from a convenient junction box to the wall switch, and then from the switch to the ceiling fixture. They pull wires with fish tape, splice neutrals, connect hot to the switch, and bond the ground, using Madison bars to secure boxes. The LED fixture is described as having a driver that converts house power to low voltage, producing bright light at a low 18-watt consumption, and weighs about two pounds. The result is a flush-mounted, switch-controlled ceiling light that eliminates the prior hanging hazard and makes the room feel larger.",Ceiling Light Replacement; LED Driver Fixture; Hardwired Ceiling Box; Switch Loop Wiring; Junction Box Routing; Fish Tape Pulling; Madison Bar Mounting; Switched Neutral Wiring; Ground Wiring; Switch Placement Height; Switch Height; Fixture Weight; LED Power Usage; Wall Patch Repair; Exposed Wiring Safety; Ceiling Box Alignment; Circuit Testing; Fixture Switch Wiring; Toggle Switch Operation,"Pull wires through ceiling and wall using fish tape @ 03:20-03:44; Use Madison bars to secure electrical boxes in wall/ceiling @ 04:26-05:16; Create a switch loop: splice neutrals, connect hot to switch, return switched hot to fixture @ 03:39-04:16; Route power from junction box to switch, then to fixture @ 02:21-02:41; Explain LED driver and low-wattage performance @ 06:59-07:19",8
1SCXY6OeU2U.youtube,All About Pendant Lights: Installing and Centering a 3-Pendant Kitchen Light (This Old House),"November 19, 2014",,"This Old House's pendant-light installation guide walks through planning and executing a three-pendant setup above a kitchen peninsula. The segment covers determining structure and ceiling-box placement, upgrading a two-gang box to a three-gang with a dimmer, pulling and routing new wiring from the attic via a switch leg, labeling conductors, and wiring the three pendants with pigtails. It also shows centering the pendants using countertop measurements and a plumb-bob, drilling pilot holes, securing pancake boxes, sealing the top plate per code, and finally mounting the canopies. The video emphasizes practical wiring tasks (hot/neutral/ground identification, Romex handling, wire nuts) and retrofit mounting considerations for multiple fixtures on a single circuit.",Pendant Light Installation; Three Gang Box Upgrade; Pendant Dimmer Installation; Fish Tape Wiring; Switch Leg Identification; Pigtail Hot Feeds; Three Pendant Centering; Plumb Bob Transfer; Pilot Hole Drilling; Pancake Box Securing; Firestop Sealing; Romex Wire Nuts; Pancake Box Mounting; Box Continuity Grounding,Centering three pendants using countertop half/quarter divisions and plumb-bob transfer @ 00:03:58; Upgrading a two-gang box to a three-gang box with a dimmer @ 00:03:50; Using fish tape to pull wiring from attic to switch box @ 00:01:19; Pigtail hot feed to supply multiple fixtures in a single box @ 00:03:11; Securing retrofit pancake boxes with drywall screws @ 00:02:30; Sealing top plate opening with firestop material after wiring @ 00:04:54,5
2ecFLuUVQWk.youtube,Ultra-Thin LED Exterior Recessed Lighting Installation (Ask This Old House),"January 29, 2017",Exterior doorway soffit area (probable),"The video demonstrates replacing an older, bulky recessed exterior light with a new ultra-thin LED recessed fixture. It explains the benefits of low-voltage operation (24V) derived from a 120V supply, and shows practical installation steps under a soffit, including mounting with clips and accommodating the soffit’s thickness. A key instructional focus is routing wiring to satisfy box capacity limits when adding multiple fixtures, followed by finishing with a digital astronomical wall switch to automate exterior lighting and a power-on reveal that highlights improved door illumination.",Driveway Lighting Comparison; Surface Vs Recessed; Recessed Fixture Anatomy; Soffit Mounting Constraints; Ultra-Thin Recessed Fixture; 24V Low-Voltage Wiring; Multi-Fixture Cable Routing; Junction Box Capacity; LED Fixture Clips; Fixture Feed Relocation; Astronomical Wall Switch; Door Lighting Design; Final Power Test,Ultra-thin LED exterior recessed fixture installation @ 00:01:20; Low-voltage (24V) LED driver integration from 120V supply @ 00:01:31; Mounting clips to secure LED fixture under soffit @ 00:01:38; Wiring reroute to feed multiple fixtures within a two-wire-per-box constraint @ 00:02:31; Install digital astronomical wall switch for exterior lighting @ 00:03:27; Replacement of bulky recessed fixture with slender LED retrofit @ 00:01:15,6
37pzurgTMj8.youtube,All About Lights: Recessed Light Installation (This Old House),"July 27, 2014",attic,"This Old House demonstrates a practical attic-to-ceiling recessed lighting install. The episode covers selecting a lighting location away from obstructions, drilling clean access holes, running Romex 14-2 between fixtures, and mounting remodel housings with plaster-clips. It contrasts quick push-in wire connections with traditional twisting and wire nuts, shows grounding and neutrals being tied in a junction box, and ends with a test of the new recessed lights. The workflow emphasizes dust control, cable length planning, and safe termination of an unused conductor from the switch loop.",Attic Planning; Hole Saw Cutting; Center Bit; Cordless Drill; Dust Catcher; Recessed Light Installation; Remodel Housing; Romex 14 2; Two-Conductor Wiring; Wire Fishing; Wire Length Measurement; pushed-in connectors; Wire Nuts; Twist and Tape Splices; Hot Conductor; Neutral Conductor; Ground Bonding; Junction Box Wiring; Plaster Clips; Fixture Mounting; Switch Wiring; Unused Conductor Capping; Test and Verification,Remodel housing allows can-light installation from below the ceiling (attic access not required for install) @ 01:23; Use of a dust catcher to minimize debris when drilling attic holes @ 00:21; Fisking Romex across the ceiling with a 'fish stick' and tape to wire length @ 00:54; Push-in quick-connectors on recessed-light housings for fast wiring @ 01:43; Traditional wire-nut and wire-twist method shown as alternative to push-in connectors @ 01:54; Ground bonding to metal box and neutral/hot conductors coordinated in a junction box @ 03:28; Clipping and securing the recessed housing with plaster-contacting four-clip system @ 02:36,7
4TaLVRW2N_U.youtube,"Replacing a Post Light: Aluminum Post, LED Diode Fixture, and Time-Clock Control","January 24, 2016",,"This Old House documents a front-yard lighting upgrade focused on replacing a failing exterior post light. After identifying a faulty wall switch and a deteriorating lamppost, the project replaces the post with a 7-foot aluminum model, installs a new LED diode fixture (no replaceable bulb) with a diffuser, and routes wiring through the post using dry-mix concrete for a quick-set footing. The update includes upgrading the electrical box to a weatherproof unit, pulling new wiring to a weatherproof outdoor switch, and installing an astronomical time clock to automate dusk-to-dawn lighting. To finish, the installer replaces a matching wall sconce to harmonize with the new post light. The video emphasizes durability, weatherproofing, and a cohesive exterior lighting design that complements the house and railing.
",Circuit Breaker; Switch Troubleshooting; Post Light; Aluminum Post Light; LED Diode Fixture; Post Light Diffuser; Side-Hole Wiring; Dry Mix Concrete; Post Footing; Weatherproof Box; New Wiring; Astronomical Time Clock; Weatherproof Cover; Outdoor Sconce Matching; House Style Matching,"Installing a new exterior post light assembly (aluminum post, 3"" diameter, 7' tall) @ 00:01:41; LED diode lighting approach: using a diode-based fixture with no replaceable bulb @ 00:02:14; Routing wiring through the post via a side access hole @ 00:02:39; Using dry-mix concrete for post footing and letting it set @ 00:02:59; Upgrading to a weatherproof exterior electrical box and wiring @ 00:04:12; Installing an astronomical time clock to automate dusk-to-dawn lighting @ 00:04:50; Adding a diffuser to LED fixtures to soften light output @ 00:03:37; Coordinating fixture style: upgrading a sconce to match the new post light @ 00:05:15; Power restoration and live testing of the updated exterior lighting @ 00:06:00",5
7-yI5Jebntc.youtube,"Handmade Chandelier Assembly: Hook Forging, Arm Forming, Soldering, and Antique Brass Finish","June 18, 2025",Fabrication department (shop),"This Old House follows a homeowner through a shop that handcrafts chandeliers and other fixtures. The episode centers on a custom eight-arm dining-room chandelier, detailing sequence—from initial design notes and parts overview to the actual fabrication steps (hook forging, arm forming, and soldering bobeche), through a multi-step finish (cleaning, acid etch, color application) and final electrical wiring. The piece is described as handmade-to-order with a living antique-brass finish, and the team notes a roughly three-week turnaround. The segment emphasizes craftsmanship, consistency across arms, and the integration of the fixture with home hardware and patina over time.",Handmade Light Fixtures; Custom Chandelier; Fixture Shop Tour; Chandelier Fabrication; Hook Forging; Arm Formation; Eight-Arm Chandelier; Soldering Bobeche; Flux Soldering; Bobeche Soldering; Heat Generation; Water Quench; Joint Quality; Bead Forming; Chandelier Finishing; Cleaning Bath; Acid Etch Finish; Coloring Agent; Antique Brass Finish; Living Finish; Lacquer Free Finish; Socket Wiring; Custom Made; Three Week Turnaround; Custom Fixture Selection,"Decorative hook forging (hammering, rolling to shape) @ 00:01:04.420; Hand-forming eight chandelier arms with pattern matching @ 00:01:37.120; Soldering bobeche joints (flux, solder, heat) with water quench @ 00:02:07.380; Four-part joint quality criteria: flux, solder, heat, experience @ 00:02:14.880; Four-step finishing process: cleaning bath, acid etch, colorant, living finish @ 00:02:49.060; Application of dark antique brass finish (lacquer-free, living finish) @ 00:03:11.960; Socket wiring preparation and dry-out for fixtures @ 00:03:41.560; Made-to-order production timeline (~3 weeks) @ 00:03:50.040",9
9E1VMYJ6IBs.youtube,"Channel Letters with Jimmy DiResta: Template, Edge Wrapping, and LED Sign Assembly","April 8, 2018",,"Jimmy DiResta demonstrates a hands-on build of a backlit channel-letter sign. The project starts from a laser-cut logo template, then glue-tits are attached to plywood and cut into letters with a bandsaw (or a jig saw as an alternative). A circle-template guides even LED light distribution across all letters, followed by edge-wrapping each letter with aluminum flashing, and assembling the pieces with hot glue, nails, and spacers to hide wiring. The interior faces are primed, painted (on both sides), and the LED strips are installed from the back, sealed with silicone for durability, before a final power-test reveal. The video emphasizes practical, accessible techniques for custom channel-letter signage using common shop tools and inexpensive materials.",Channel Letters; LED Signage Lighting; Laser Cut Template; Bandsaw Letter Cutting; Drill Press Work; LED Distribution Template; Flashing Edge Wrapping; Hot Glue Assembly; Wiring Clearance Spacers; Interior Priming; Two-Sided Painting; Silicone LED Sealing; Back-Loading LED Strips; Sign Wire Management; Power Test Reveal,Laser-cut logo/template for channel-letter shapes @ 00:56:00; Edge wrapping with roof flashing to create a sanitary light seal @ 02:55:00; Distributing LED light evenly using a circle template @ 01:58:00; Back-side wiring and silicone sealing for long-term durability @ 05:51:00; Two-sided painting approach to prevent bleed-through @ 04:58:00,14
9YdBmqu8U3w.youtube,Single-Switch Basement Lighting with LED Retrofit,"July 6, 2018",Basement (probable),"This episode segment from This Old House demonstrates wiring a basement lighting circuit so that all fixtures (three basement lights with pull chains) are controlled by a single wall switch. The host walks through identifying the switch leg, reconfiguring the splice so power feeds all fixtures via one switch, and then upgrades the lighting with LED retrofit bulbs that fit the existing sockets with no extra wiring. After the changes, a test shows all lights come on together, the basement appears brighter, and a claim is made about reduced electricity usage and heat with the LED upgrade.",Basement Lighting Layout; Pull-Chain Fixtures; Single Switch Control; Main Power Feed; Switch Leg ID; Repainted White Hot Wire; Multi-Fixture Splice Feed; Fixture Power Routing; Three Fixture Circuit; LED Retrofit Bulbs; Retrofit Without Extra Wiring; LED Screw In Bulbs; Porcelain Fixture Compatibility; LED Efficiency Comparison; Brightness Testing; Energy Savings Claim; Electrical Plan Mockup,"Consolidating control of multiple basement fixtures under one switch via wiring modification and a single splice @ 00:01:59; Identifying and repurposing the switch leg (white wire used as hot, painted black) to feed a switched circuit @ 00:01:00; LED retrofit bulbs that screw into existing sockets with no additional wiring @ 00:02:46; In-basement mock-up and planning display to illustrate the wiring concept @ 00:00:27",3
AsqFITQ8ER0.youtube,How to Install Track Lighting | All About Lights (Ask This Old House) — Practical Kitchen Track Lighting Upgrade,"September 15, 2017",Kitchen,"This Old House’s Ask This Old House episode demonstrates upgrading a single kitchen overhead light to a flexible track lighting system. The video distinguishes task lighting (near countertops and prep areas) from general lighting (for the table and room), then presents track lighting as a finish-friendly, surface-mounted option when ceiling wiring is constrained. The host walks through planning, power routing with a floating feed, cutting track to length, pre-assembling connectors, mounting with toggle bolts in a non-structural ceiling, wiring the track, installing individual fixture heads, and finally adding a pendant with an LED bulb and dimmer, highlighting LED efficiency advantages.",Kitchen Task Lighting; Kitchen General Lighting; Track Lighting; Floating Feed Power; Track Length Options; Track Cutting Length; Track Connector Assembly; Toggle Bolt Mounting; Track Power Connector; 90 Degree Power Connector; Track Junction Cover; Track Head Locking Collar; Track Head Orientation; Track Head Rotation; Pendant Track Lighting; Pendant Height Adjustment; Edison Base Compatibility; LED Replacement Bulbs; Track Lighting Dimmers; LED Energy Efficiency,Installing a floating feed to power a track lighting system @ 01:58; Cutting track to length and fitting four- and eight-foot sections @ 02:20; Pre-assembly of track connectors before installation @ 02:36; Mounting with toggle bolts when there is no structural backing @ 02:51; Connecting power with a 90-degree connector and hiding it with a plate @ 03:48; Inserting track heads and locking with the collar; orientation alignment @ 04:00; Pendant installation height and LED bulb upgrade @ 04:41; Using LED bulbs with a dimmer for energy efficiency @ 05:04,6
Cq9aY4KAa14.youtube,"LED Lighting 101: Efficiency, Retrofit Options, and Smart Control (This Old House)","February 23, 2016",Under-cabinet LED lighting (cabinet interior),"The video surveys LED lighting technology for residential use, highlighting basic benefits (brightness, efficiency, and small form factor) and comparing LED wattage to incandescent/halogen equivalents. It then showcases retrofit options (bulbs that screw into standard sockets, trim-in-one recessed replacements, and hardwired/plug-in variants), followed by built-in LED fixtures and cabinet lighting. Additional segments cover LED strip lighting with adhesive backing for cabinets, color-changing and sunrise-like features, and smart home integration via a tablet controlling multiple bulbs on a wireless network. An outdoor LED lighting example emphasizes high light output with low power consumption. Throughout, the emphasis is on energy efficiency, controllability, and real-world applicability of LEDs in diverse settings.",LED Basics; Bulb Wattage Comparison; LED Retrofit Bulbs; LED Recessed Retrofit; Recessed LED Options; Hardwired LED Retrofits; Ceiling LED Retrofit; Cabinet LED Strips; Adhesive LED Strips; Color-Changing LED Strips; Sunrise Lighting; Color Temperature Control; Tablet Lighting Control; Smart Light Integration; Multi-Bulb Smart Control; Built In LED Fixtures; Outdoor LED Wattage; LED Efficiency Claims; LED Home Design,LED retrofit bulbs screw into existing sockets @ 01:29; Trim-in-one LED module that replaces existing recessed trim @ 01:43; Hardwired/recessed LED option with plug-in capability @ 02:12; Adhesive-backed LED strip lighting for cabinet interiors @ 02:31; Color-changing LED strip lighting @ 02:36; Sunrise/sunset-style color and brightness control @ 02:51; Smart lighting control via tablet over a home wireless network (up to 50 bulbs) @ 03:00; Outdoor LED lighting with high output at low wattage @ 04:02,9
