video,title,date,location,summary,topics,featured_techniques,section_count
1YljdhInklo.youtube,Indirect Hot Water Heater Installation on a Steam Boiler (This Old House),"February 19, 2017",Basement,"This Old House demonstrates converting a steam boiler that serves a house with radiant heat into a domestic hot water source by installing an indirect hot water heater. The video explains the limitations of boiler-derived hot water and then details an indirect tank with an internal coil that transfers heat from boiler water to a larger volume of potable water, eliminating the need for a direct-flame water heater. The program covers the tank’s construction (stainless steel, thick insulation), coil arrangement, filtration to protect the system, and the piping and valve hardware required (temperating valve, aquastat, relay, and circulator). It also walks through the installation steps: isolating the boiler, draining the system, mounting and leveling the tank, copper piping and soldering, adding a feed strainer, wiring controls, and starting the system to verify hot water supply.",Indirect Water Heater; Indirect Boiler DHW; Indirect Boiler Heater; Boiler Water Heat Exchange; Insulated Tank; Indirect Tank Insulation; Copper Soldering; Indirect Tank Shimming; Indirect Boiler Piping; Pump Strainer Filtration; Thermostatic Mixing Valve; Aquastat Well Sensor; Boiler Relay Control; Circulator Integration; Boiler Drain and Purge; DHW Temperature Regulation; Steam Boiler Safety; Hot Water Startup,"Indirect hot water heater installation on a steam boiler (concept) @ 00:02:52; Internal coil heat exchanger inside insulated tank @ 00:03:15; Shut off main water and drain boiler to begin installation @ 00:04:18; Shim and level the new indirect tank @ 00:04:55; Copper piping and soldering for the indirect system @ 00:05:28; Install strainer (water filter) on boiler feed @ 00:06:05; Tempering/thermostatic valve to regulate outlet temp @ 00:06:57; Aquastat, relay, and circulator integration @ 00:07:24; Startup, testing hot water availability @ 00:08:14",8
25gybh69JdA.youtube,"Wet-Tap Water Main Upgrade and Copper Service Installation (Saratoga, NY) – This Old House","April 13, 2026","Saratoga, NY","This Old House documents a street-level water and sewer upgrade at a site in Saratoga, focusing on replacing an old galvanized/lead water service and a deteriorated sewer line while avoiding disruption to a new sidewalk. The crew locates an existing water main, investigates the lead service, and plans a new drain route that begins at a manhole. They use trenching and a diamond drill approach for the sewer/drain routing, then perform a wet tap to tie into the live 4-inch water main using a Mueller B-101 tapping machine. The process includes managing high pressure with a bypass and shutoff, establishing a proper service pitch with laser-guided alignment, and tying in copper Type K service lines with curb stops to provide both domestic supply and a dedicated fire-protection line for the upper floors. The video emphasizes practical, code-conscious constraints (10-foot separation from sewer, avoiding gas lines, frostproof curb shutoffs) and highlights long-standing plumbing tools and methods still in active use (wet taps, tapping machines) within municipal systems.",Old Water Service Lines; Manhole Sewer Routing; Site Constraint Planning; Drain Pitch Alignment; Water Sewer Separation; Lead Service Lines; Manhole Sewer Tapping; Wet Tap Main; B-101 Tapping Machine; Wet Tap Pressure Control; Wet Tap Main Connection; Copper Service Line; Frost-Proof Curb Stops; Fire Supply Considerations; Municipal Tapping Tools,Wet-tap into a live water main using a Mueller B-101 tapping machine @ 00:02:23; Using a laser level to establish pipe pitch and starting point for drainage @ 00:00:47; Drilling and tapping the main to accept a new service with threaded corporation @ 00:02:43; Pressure management: bypassing and controlled open/close of the tapping chamber to prevent water discharge @ 00:04:16; Copper service installation with Type K copper and frost-protected curb shutoffs @ 00:04:49,4
2ALEi8EqkGs.youtube,Replacing Polybutylene Piping with CPVC in a Raleigh Home,"December 27, 2018","Raleigh, North Carolina (crawl space context)","This Old House’s Ask This Old House episode documents a PB (polybutylene) piping replacement in a Raleigh, NC home. The segment outlines the historical prevalence of polybutylene in the 1970s, the leaks observed in PB and acetal fittings, and the decision to replace the entire PB network with CPVC hot- and cold-water lines. The crew removes the old piping through wall openings, reroutes new CPVC from the crawl space, and ties into fixtures (notably a second-floor shower valve) using brass-to-CPVC adapters and threaded/female adapters. The project requires extensive wall and ceiling access, drywall repair by a skilled tradesperson, and a final water test. The host commentary frames the replacement as both technically necessary and time-consuming, emphasizing that labor and wall restoration are major cost components alongside materials. The episode also places the work in a regional context, noting that tens of thousands of Raleigh-area homes were affected by PB piping. ",Polybutylene Piping; Polybutylene Era; Polybutylene Fitting Leaks; Polybutylene Removal; CPVC Water Distribution; CPVC Glue Fittings; PB Pipe Cutting; Wall Access; Drywall Openings; Hot Cold Risers; CPVC Tee Distribution; Brass Adapter Tie-Ins; Threaded Adapter Fittings; CPVC Glue Technique; Post-Install Water Testing; PB Replacement Scope,Full PB replacement with CPVC using glue fittings (no crimp fittings) @ 02:16:00; Opening walls through back side of the wall to access hidden PB lines with minimal wire disruption @ 02:45:00; Cutting PB pipe with knife-type cutters to remove top sections and pull pipe from ceiling @ 03:12:00; Drywall patching by a skilled tradesperson to restore concealed work after pipe removal @ 01:59:00; Shower valve retrofit using female adapters and threaded CPVC connections to join CPVC to brass fittings @ 05:27:00; Routing hot and cold CPVC risers from crawl space with TE fittings to multiple fixtures @ 04:04:00,6
2CKJQpSLxGM.youtube,Installing a Frost-Proof Outdoor Hydrant to Deliver Hot and Cold Water Outside (This Old House),"June 29, 2018",Exterior garden faucet,"This Old House demonstrates converting a cold outdoor garden faucet into a year-round, hot-and-cold wall hydrant that feeds exterior water with a frost-proof design. The host explains the drawbacks of a simple Y-connector approach, then installs a frost-proof wall hydrant that mounts on the exterior, with hot and cold runs brought from inside. The process covers routing copper supply from a kitchen-area crawl space, turning off the main, cutting the copper line, removing the old faucet, positioning the new hydrant (center-to-center = 5 inches), sealing the unit to vinyl with silicone, securing it with weather screws, and tying hot and cold lines together with shut-offs for future service. The final section demonstrates turning the water back on and testing the new outside faucet, which now provides hot water outdoors and eliminates winter shutoffs inside. The lesson emphasizes freeze protection and the convenience of year-round use for outdoor tasks like washing the car or pets.",Frost-Proof Wall Hydrant; Outdoor Faucet Upgrade; Hot Cold Supply Lines; Copper Piping; Outdoor Hydrant Soldering; Vinyl Sealant; Weatherproof Mounting Screws; Faucet Placement; Service Valve Setup; Compact Pipe Cutter; Frost-Proof Faucet Replacement; Freeze Protection; Exterior Plumbing Testing; Disposer Removal,Frost-proof wall hydrant installation for exterior hot and cold water @ 00:00:32; Routing a hot-water supply from inside to an exterior faucet @ 00:00:14; Sealing the hydrant to vinyl with silicone and securing with weather screws @ 02:46; Lifting/loosening stem to protect washer during extension piece soldering @ 02:36; Soldering extension pieces and coordinating hot/cold connections @ 02:36-02:46; Center-to-center measurement for faucet placement (5 inches) @ 02:28; Using a compact copper pipe cutter to remove old faucet and cut supply @ 01:59-02:03; Installing shut-off valves for future service @ 03:11,10
2l8STssse5w.youtube,How to Clean or Replace a Faucet Aerator: Debris Removal and Flow Restoration (This Old House),"December 26, 2014",,"This Old House walkthrough explains faucet aerators, including how a built-in flow restrictor governs water through a small orifice and how debris can clog the path. The presenter demonstrates safe removal with a non-damaging wrench on an aerator with straight edges, reveals debris (notably coffee grounds) inside, flushes the spout to verify cleanliness, and decides that replacement may be more cost-effective than thorough cleaning. The segment concludes with a quick hot/cold water test to confirm restored flow and function, noting a rough replacement cost in the five to six dollar range.",Faucet Aerator; Flow Restrictor; Faucet Aerator Cleaning; Aerator Debris Removal; Aerator Removal; Straight-Edge Aerator; Scratch Prevention; Aerator Interior Check; Spout Clean Verification; Aerator Cleaning; Faucet Aerator Cost; Hot Water Test; Cold Water Flow Test; Pressure Check; hand-tight caution,Remove aerator with adjustable open-end wrench (no teeth) on straight-edged unit @ 00:00:49; Inspect interior of aerator; identify debris such as coffee grounds @ 00:01:25; Flush spout and confirm cleaning using a rag to collect debris @ 00:01:33; Assess whether to replace the aerator due to debris load; discuss cost @ 00:01:50; Perform hot and cold water test to verify restoration of flow after service @ 00:02:04,3
3ZM7Tjpem4w.youtube,Under-Sink Water Filter Installation: Copper-to-Plastic Connections and Leak-Prevention,"August 27, 2013",Under the sink (explicit),"This Old House demonstrates installing an under-sink water filter by tying into the home’s cold-water supply, fitting copper-to-plastic connections, and mounting the filter beneath the sink. The steps shown include turning off the basement shut-off, separating existing fittings, applying Teflon tape, assembling a copper branch with a T and quarter-inch branch, installing an inline shut-off valve, using ferrule/insert compression fittings, removing the soap dispenser to access the mounting surface, securing the filter with washers and a lock nut, trimming tubing to length, pushing tubing into connectors, and finally testing the line by re-opening the supply and verifying leaks and air purge.",Filter Installation; Basement Shutoff Valve; Branch Line Connection; Threaded Tape Use; Two Wrench Tightening; Inline Shutoff Valve; Nut Ferrule Insert Fittings; Soap Dispenser Access; Putty Gasket Application; Filter Mounting Hardware; Tubing Cutter Use; Push-Fit Connector Insertion; Leak and Air Purge,Apply Teflon tape to threaded fittings for leak prevention @ 00:25:00; Use ferrule and insert with a compression nut for copper-to-plastic transitions @ 00:58:00; Install an inline shut-off valve supplied with the filter @ 01:22:00; Cut tubing to length and push into connectors for a secure fit @ 03:20:00; Test system after reactivating water supply; purge air @ 03:54:00,5
3akJBmn_GpE.youtube,Installing a Whole-House Water Filter with Push-Fit Fittings (This Old House),"December 1, 2014",Garage mechanical room,"The video details the installation of a whole-house water filter in a garage mechanical room. It covers selecting between two cartridge types (dirt/rust and dirt/rust plus chlorine removal) to address chlorine taste, mounting the filter on a plywood-backed bracket, and modifying the plumbing with push-fit (solderless) fittings and adapters from 1 inch to 3/4 inch. The host explains shutting off water at the street curb stop, creating isolation on both sides of the filter with two shut-off valves, and grounding considerations after adding the filter. A test run follows to check for leaks, and maintenance guidance notes cartridge replacement every 2–3 months.",Filter Cartridge Selection; Clear Housing Cartridge Install; Curb Stop Shutoff; Garage Mechanical Room; Filter Bracket Mount; Push Fit Pipe Fittings; Threaded Adapter; Witness Marked Seating; Fitting Prep Cleaning; Isolation Shutoff Valves; Push-Fit Valve Connections; Bonding Jumper; Repressurization Leak Test; Filter Cartridge Access; Cartridge Maintenance Interval; Whole-House Filter Flow; Filter Housing Orientation; Push-Fit Witness Marks,Solderless push-fit pipe fittings (O-ring and stainless teeth) @ 00:01:13; Mounting the filter bracket on plywood backing @ 00:01:38; 1-inch to 3/4-inch threaded adapter with PTFE tape @ 00:01:57; Applying PTFE tape and tightening threaded connections @ 00:02:10; Emery cloth pipe preparation prior to fitting @ 00:03:02; Witness marks to verify full seating of push-fit fittings @ 00:03:23; Dual shut-off valves for easy isolation of the filter @ 00:03:56; Ground bonding jumper to maintain electrical continuity after adding the filter @ 00:04:26; Leak testing after repressurizing the water system @ 00:04:50; Cartridge maintenance planning (replacement every 2–3 months) @ 00:05:01,12
3lhNME-kj0k.youtube,Installing a Water Filter with a Separate Faucet: Under-Sink Plumbing and Fittings,"October 28, 2014",kitchen sink / under-sink area,"This Old House demonstrates installing a dedicated filtered-water faucet and an under-sink carbon-block filter. The host introduces the faucet and filter assembly, explains how the carbon block works by showing a cut block, and then guides the viewer through drilling a 3/4-inch hole in a stainless-steel kitchen sink using a slug cutter. The faucet is mounted with a backing plate and tightened with a basin wrench in a tight space. The cold-water supply is disconnected and re-routed to feed the filter, with fittings and a tee to supply the filter. The upper housing is mounted, the cartridge is installed with a quarter-turn, and the supply tubes are connected with quick-connect fittings. The video concludes with re-pressurizing the cold water and noting the cartridge life (approximately six months at around four gallons per day).",Faucet Installation; Under Sink Filter; Carbon Block Filter; Mini Hacksaw Use; Sink Filter Drill; Pilot Hole Drilling; Basin Wrench; Faucet Mounting Hardware; Cold Water Filter Supply; Filter Cartridge Install; Quick-Connect Tubing; Filter Cartridge Life; Drilling Metal Holes; Backing Plate Mounting; Plumbing Tool Selection,Slug cutter hole drilling in stainless steel sink @ 00:00:57; Basin wrench for securing faucet in tight spaces @ 00:02:40; Push-to-connect water line fittings for quick installation @ 00:04:11; Quarter-turn filter cartridge installation @ 00:04:06; Carbon block filter explanation via cut block model @ 00:00:19; Estimated filter cartridge life at four gallons/day @ 00:04:23,4
4IjXXohWaOQ.youtube,Upgrading a 1944 bungalow shower to a modern pressure-balanced valve with minimal demolition,"February 9, 2020","Salt Lake City, Utah (probable job site)","This Old House profiles a pragmatic retrofit of a decades-old two-valve shower in a 1944 bungalow. With a leaking valve and a reluctance to rip out the surround, the crew upgrades to a modern single-lever, pressure-balanced valve behind the existing fiberglass. The process includes identifying the old valve type, fabricating access by removing a kitchen cabinet and scoring a remodel plate, uncovering galvanized piping behind the wall, replacing the run with copper, soldering joints outside the wall, and carefully threading the new connections back into place. A raised shower arm, a cockhole cover to conceal an old hole, and a cover plate with a diverter complete the tub-to-shower functionality while keeping the wall intact. The video also discusses copper versus PEX and how to anchor piping to studs to prevent movement, ending with a test of the new system by the homeowners.",Two Valve Shower; Pressure-Balanced Valve; Pressure Balance Spool; Coverage Plate Repair; Wall Access Opening; Shower Access Panel; Galvanized Wall Piping; Copper Pipe Replacement; Wall Cavity Soldering; Cockhole Cover; Shower Arm Height; Shower Diverter Dial; Escutcheon Gasket Choice; Stud Blocking for Pipes; Tub Spout Threading; Copper Wall Branch,"Install a modern single-lever, pressure-balanced shower valve behind an existing fiberglass wall using a remodeling/cover plate design @ 00:01:16; Create an access pathway through the kitchen wall by removing a cabinet and cutting an opening for back-side plumbing work @ 00:03:39; Expose galvanized piping behind the wall and plan to replace with copper due to age and corrosion risk @ 00:04:39; Pre-assemble solder connections outside the wall to simplify installation, then slide the assembly into place @ 00:04:57; Drill a higher shower-arm hole and use a cockhole cover to conceal the old hole while maintaining a clean finish @ 00:06:30; Integrate a diverter dial into the cover plate to switch between tub spout and shower head @ 00:08:00; Anchor and block piping between studs to minimize movement and banging when the water runs @ 00:07:32; Use a gasket on the cover plate to avoid caulking and ensure a tight seal @ 00:08:08",8
4XhswR5UGck.youtube,"Plumbing Tool Essentials for Beginners: Valve Shut-off, Hand Tools, and Blockage Clearing","August 3, 2018",Main water shut-off valve location (basement or utility area),"This video offers a beginner-friendly overview of essential plumbing tools and basic blockage-clearing techniques. It begins with guidance on finding and using the home’s main water shut-off, including distinguishing valve types (gate vs ball) and the importance of tagging the shut-off for emergencies. The host then covers a core tool kit (water pump pliers, an adjustable/open-end wrench, a basin wrench, and a screwdriver) with practical tips to avoid damaging brass fittings. Finally, the segment covers common blockages and remedies—proper toilet plunging technique, the closet auger for toilets, and the drain snake for traps in lavatories and kitchen sinks—emphasizing effective methods while avoiding common pitfalls like pushing a clog further into the system or marring fittings.",Water Main Shutoff Valve; Valve Types; Main Shutoff Tagging; Water Pump Pliers; Wrench Selection; Brass Fitting Handling; Sink Basin Wrench; Screwdriver Wear; Toilet Plunging Basics; Closet Auger Use; Plumber Snake; Trapway Basics,"Identify and shut off main water supply (emergency awareness) @ 00:00:24; Use of water pump pliers for adjustable gripping and torque @ 00:00:45; Brass fittings protection: avoid biting with teeth, use proper wrench @ 00:01:24; Basin wrench for tight under-sink access @ 00:01:38; Proper toilet blockage plunging technique (seal, pull, not push) @ 00:02:22; Closet auger use for toilet clogs (protective coating, feeding through trapway) @ 00:02:39; Drain snake (plumber’s snake) for traps under lavatories and kitchens @ 00:03:04",8
